// Wino cross section
// mass, process, xsec
 700, C1N1, 2.670e-01+1.722e-01;
 700, C1C1, 2.190e-01;
 800, C1N1, 1.684e-01+1.050e-01;
 800, C1C1, 1.370e-01;
 900, C1N1, 1.103e-01+6.783e-02;
 900, C1C1, 9.033e-02;
1000, C1N1, 7.707e-02+4.635e-02;
1000, C1C1, 6.274e-02;
1100, C1N1, 5.799e-02+3.424e-02;
1100, C1C1, 4.598e-02;
1200, C1N1, 4.261e-02+2.477e-02;
1200, C1C1, 3.353e-02;
1300, C1N1, 3.125e-02+1.776e-02;
1300, C1C1, 2.442e-02;
1400, C1N1, 2.401e-02+1.343e-02;
1400, C1C1, 1.859e-02;
1500, C1N1, 1.885e-02+1.033e-02;
1500, C1C1, 1.371e-02;
1600, C1N1, 1.410e-02+7.605e-03;
1600, C1C1, 1.075e-02;
1700, C1N1, 1.129e-02+5.989e-03;
1700, C1C1, 8.552e-03;
1800, C1N1, 1.015e-02+5.281e-03;
1800, C1C1, 6.866e-03;
1900, C1N1, 7.437e-03+3.831e-03;
1900, C1C1, 5.572e-03;
2000, C1N1, 6.129e-03+3.120e-03;
2000, C1C1, 4.563e-03;
2100, C1N1, 5.499e-03+2.763e-03;
2100, C1C1, 4.070e-03;
2200, C1N1, 4.353e-03+2.154e-03;
2200, C1C1, 3.201e-03;
2300, C1N1, 3.507e-03+1.709e-03;
2300, C1C1, 2.558e-03;
2400, C1N1, 2.958e-03+1.423e-03;
2400, C1C1, 2.142e-03;
2500, C1N1, 2.647e-03+1.261e-03;
2500, C1C1, 1.913e-03;
2600, C1N1, 2.135e-03+1.001e-03;
2600, C1C1, 1.532e-03;
2700, C1N1, 1.972e-03+9.116e-04;
2700, C1C1, 1.402e-03;
2800, C1N1, 1.688e-03+7.708e-04;
2800, C1C1, 1.190e-03;
2900, C1N1, 1.488e-03+6.765e-04;
2900, C1C1, 1.055e-03;
3000, C1N1, 1.230e-03+5.502e-04;
3000, C1C1, 8.640e-04;
3100, C1N1, 1.090e-03+4.822e-04;
3100, C1C1, 7.602e-04;
3200, C1N1, 9.480e-04+4.153e-04;
3200, C1C1, 6.587e-04;
3300, C1N1, 8.016e-04+3.460e-04;
3300, C1C1, 5.549e-04;
3400, C1N1, 7.199e-04+3.076e-04;
3400, C1C1, 4.954e-04;
3500, C1N1, 6.341e-04+2.682e-04;
3500, C1C1, 4.351e-04;
3600, C1N1, 5.610e-04+2.349e-04;
3600, C1C1, 3.829e-04;
3700, C1N1, 5.082e-04+2.114e-04;
3700, C1C1, 3.444e-04;
3800, C1N1, 4.482e-04+1.849e-04;
3800, C1C1, 3.029e-04;
3900, C1N1, 3.939e-04+1.605e-04;
3900, C1C1, 2.659e-04;
4000, C1N1, 3.563e-04+1.442e-04;
4000, C1C1, 2.385e-04;
4100, C1N1, 3.187e-04+1.273e-04;
4100, C1C1, 2.127e-04;
4200, C1N1, 2.861e-04+1.130e-04;
4200, C1C1, 1.902e-04;
4300, C1N1, 2.563e-04+1.006e-04;
4300, C1C1, 1.692e-04;
4400, C1N1, 2.309e-04+8.998e-05;
4400, C1C1, 1.522e-04;
4500, C1N1, 2.086e-04+8.034e-05;
4500, C1C1, 1.367e-04;
4600, C1N1, 1.876e-04+7.196e-05;
4600, C1C1, 1.229e-04;

// Higgsino cross section
// mass, process, xsec
 700, C1N1, (0.0680123887 + 0.0437433392)*2;
 700, C1C1, 0.0632359608;
 800, C1N1, (0.0419882235 + 0.0263022506)*2;
 800, C1C1, 0.0386748501;
 900, C1N1, (0.0288144796 + 0.0177087309)*2;
 900, C1C1, 0.0254829730;
1000, C1N1, (0.0212628065 + 0.0127702317)*2;
1000, C1C1, 0.0193094004;
1100, C1N1, (0.0131147243 + 0.0076998584)*2;
1100, C1C1, 0.0118099022;
1200, C1N1, (0.0098622437 + 0.0056935225)*2;
1200, C1C1, 0.0094367318;
1300, C1N1, (0.0073643739 + 0.0041649819)*2;
1300, C1C1, 0.0074867381;
1400, C1N1, (0.0065782013 + 0.0036640919)*2;
1400, C1C1, 0.0054358747;
1500, C1N1, (0.0039873744 + 0.0021708844)*2;
1500, C1C1, 0.0039546328;

