// Higgsino cross section
// mass, process, xsec
 700, C1N1, (0.0680123887 + 0.0437433392)*2;
 700, C1C1, 0.0632359608;
 800, C1N1, (0.0419882235 + 0.0263022506)*2;
 800, C1C1, 0.0386748501;
 900, C1N1, (0.0288144796 + 0.0177087309)*2;
 900, C1C1, 0.0254829730;
1000, C1N1, (0.0212628065 + 0.0127702317)*2;
1000, C1C1, 0.0193094004;
1100, C1N1, (0.0131147243 + 0.0076998584)*2;
1100, C1C1, 0.0118099022;
1200, C1N1, (0.0098622437 + 0.0056935225)*2;
1200, C1C1, 0.0094367318;
1300, C1N1, (0.0073643739 + 0.0041649819)*2;
1300, C1C1, 0.0074867381;
1400, C1N1, (0.0065782013 + 0.0036640919)*2;
1400, C1C1, 0.0054358747;
1500, C1N1, (0.0039873744 + 0.0021708844)*2;
1500, C1C1, 0.0039546328;
