// Backgrounds
// BG type, HT range, cross section, number of events for integrated luminosity of 30ab-1
W+jets, 0_150, 1.479e+06, 4.437e+13;
W+jets, 150_300, 83770, 2.5131e+12;
W+jets, 300_500, 24930, 7.479e+11;
W+jets, 500_1000, 10370, 3.111e+11;
W+jets, 1000_2000, 1917, 5.751e+10;
W+jets, 2000_5000, 273.7, 8.211e+09;
W+jets, 5000_100000, 11.11, 3.333e+08;
Z+jets, 0_150, 465800, 1.3974e+13;
Z+jets, 150_300, 29440, 8.832e+11;
Z+jets, 300_500, 8958, 2.6874e+11;
Z+jets, 500_1000, 3756, 1.1268e+11;
Z+jets, 1000_2000, 703.8, 2.1114e+10;
Z+jets, 2000_5000, 102.3, 3.069e+09;
Z+jets, 5000_100000, 4.196, 1.2588e+08;
ttbar, 0_600, 32070, 9.621e+11;
ttbar, 600_1200, 8883, 2.6649e+11;
ttbar, 1200_2100, 1737, 5.211e+10;
ttbar, 2100_3400, 284.3, 8.529e+09;
ttbar, 3400_5300, 44.91, 1.3473e+09;
ttbar, 5300_8100, 6.484, 1.9452e+08;
ttbar, 8100_15000, 0.8583, 2.5749e+07;
ttbar, 15000_25000, 0.0219, 657000;
ttbar, 25000_35000, 0.0004247, 12741;
ttbar, 35000_100000, 1.459e-05, 437.7;
topsingle, , 7524, 2.2572e+11;
multijets, 0_500, 6.517e+09, 1.9551e+17;
multijets, 500_1000, 1.642e+07, 4.926e+14;
multijets, 1000_2000, 1.673e+06, 5.019e+13;
multijets, 2000_4000, 132000, 3.96e+12;
multijets, 4000_7200, 7316, 2.1948e+11;
multijets, 7200_15000, 474.9, 1.4247e+10;
multijets, 15000_25000, 7.349, 2.2047e+08;
multijets, 25000_35000, 0.1759, 5.277e+06;
multijets, 35000_100000, 0.007654, 229620;
