// Wino 
// mass, process, number of events for integrated luminosity of 30ab-1 
700, C1N1, 1.3176e+07;
700, C1C1, 6.57e+06;
800, C1N1, 8.202e+06;
800, C1C1, 4.11e+06;
900, C1N1, 5.3439e+06;
900, C1C1, 2.7099e+06;
1000, C1N1, 3.7026e+06;
1000, C1C1, 1.8822e+06;
1100, C1N1, 2.7669e+06;
1100, C1C1, 1.3794e+06;
1200, C1N1, 2.0214e+06;
1200, C1C1, 1.0059e+06;
1300, C1N1, 1.4703e+06;
1300, C1C1, 732600;
1400, C1N1, 1.1232e+06;
1400, C1C1, 557700;
1500, C1N1, 875400;
1500, C1C1, 411300;
1600, C1N1, 651150;
1600, C1C1, 322500;
1700, C1N1, 518370;
1700, C1C1, 256560;
1800, C1N1, 462930;
1800, C1C1, 205980;
1900, C1N1, 338040;
1900, C1C1, 167160;
2000, C1N1, 277470;
2000, C1C1, 136890;
2100, C1N1, 247860;
2100, C1C1, 122100;
2200, C1N1, 195210;
2200, C1C1, 96030;
2300, C1N1, 156480;
2300, C1C1, 76740;
2400, C1N1, 131430;
2400, C1C1, 64260;
2500, C1N1, 117240;
2500, C1C1, 57390;
2600, C1N1, 94080;
2600, C1C1, 45960;
2700, C1N1, 86508;
2700, C1C1, 42060;
2800, C1N1, 73764;
2800, C1C1, 35700;
2900, C1N1, 64935;
2900, C1C1, 31650;
3000, C1N1, 53406;
3000, C1C1, 25920;
3100, C1N1, 47166;
3100, C1C1, 22806;
3200, C1N1, 40899;
3200, C1C1, 19761;
3300, C1N1, 34428;
3300, C1C1, 16647;
3400, C1N1, 30825;
3400, C1C1, 14862;
3500, C1N1, 27069;
3500, C1C1, 13053;
3600, C1N1, 23877;
3600, C1C1, 11487;
3700, C1N1, 21588;
3700, C1C1, 10332;
3800, C1N1, 18993;
3800, C1C1, 9087;
3900, C1N1, 16632;
3900, C1C1, 7977;
4000, C1N1, 15015;
4000, C1C1, 7155;
4100, C1N1, 13380;
4100, C1C1, 6381;
4200, C1N1, 11973;
4200, C1C1, 5706;
4300, C1N1, 10707;
4300, C1C1, 5076;
4400, C1N1, 9626.4;
4400, C1C1, 4566;
4500, C1N1, 8668.2;
4500, C1C1, 4101;
4600, C1N1, 7786.8;
4600, C1C1, 3687;
