// x, y, n_BG, n_sig0, n_sig1, n_sig2, n_sig3 
100, 100, 6.72195e+11, 61091.5, 901.612, 30641.1, 420.64;
100, 200, 1.29979e+11, 50384.3, 772.734, 25220.9, 362.798;
100, 300, 3.59375e+10, 39745.7, 657.688, 20012.4, 309.104;
100, 400, 1.35458e+10, 31210.8, 568.711, 15671.6, 267.126;
100, 500, 6.19578e+09, 24717.4, 496.625, 12430.8, 235.52;
100, 600, 3.22007e+09, 19706.6, 430.789, 9975.81, 205.622;
100, 700, 1.80645e+09, 15883.7, 375.461, 8013.26, 179.019;
100, 800, 1.09964e+09, 12850.9, 327.182, 6502.18, 159.738;
100, 900, 7.07812e+08, 10555.7, 286.617, 5290.38, 140.702;
100, 1000, 4.6241e+08, 8738.46, 254.031, 4377.21, 124.288;
100, 1100, 3.1755e+08, 7231.23, 224.638, 3604.72, 109.889;
100, 1200, 2.27764e+08, 6017.67, 203.624, 3000.42, 97.2586;
100, 1300, 1.59041e+08, 5060.94, 184.206, 2516.33, 87.3741;
100, 1400, 1.17678e+08, 4246.44, 166.118, 2112.19, 79.137;
100, 1500, 8.93605e+07, 3599.76, 150.158, 1797.56, 69.9847;
100, 1600, 6.90065e+07, 3078.93, 133.932, 1543.05, 63.5781;
100, 1700, 5.27791e+07, 2661.45, 119.435, 1322.43, 56.6833;
100, 1800, 4.09243e+07, 2285.92, 107.066, 1142.1, 51.9851;
100, 1900, 3.26154e+07, 1986.11, 96.4255, 988.629, 46.3107;
100, 2000, 2.55165e+07, 1702.67, 86.9825, 847.944, 41.9176;
100, 2100, 2.04233e+07, 1482.67, 79.8004, 740.512, 37.8296;
100, 2200, 1.66208e+07, 1286.21, 71.2884, 646.509, 34.5347;
100, 2300, 1.3729e+07, 1137.84, 64.9043, 550.588, 30.9348;
100, 2400, 1.11263e+07, 1001.75, 59.5843, 498.791, 27.701;
100, 2500, 9.2521e+06, 883.056, 55.7273, 441.238, 24.5892;
100, 2600, 7.82991e+06, 780.732, 50.9393, 391.359, 21.9656;
100, 2700, 6.5436e+06, 689.663, 46.5502, 340.84, 20.0131;
100, 2800, 5.49095e+06, 613.944, 41.4962, 296.716, 18.5487;
100, 2900, 4.61806e+06, 540.27, 37.2402, 264.103, 17.0233;
100, 3000, 3.98148e+06, 499.341, 33.7822, 235.966, 15.925;
100, 3100, 3.43418e+06, 450.225, 30.4572, 209.108, 14.8267;
100, 3200, 2.98629e+06, 392.924, 27.5311, 186.087, 13.8505;
100, 3300, 2.64829e+06, 349.948, 25.0041, 166.903, 12.3861;
100, 3400, 2.32458e+06, 316.181, 22.8761, 147.079, 11.4099;
100, 3500, 1.9791e+06, 287.53, 20.8811, 133.65, 10.4336;
100, 3600, 1.69559e+06, 261.949, 19.2851, 122.14, 9.39637;
100, 3700, 1.46916e+06, 236.368, 17.9551, 113.827, 8.66419;
100, 3800, 1.27717e+06, 206.694, 16.6251, 103.595, 8.2981;
100, 3900, 1.08949e+06, 181.113, 15.4281, 88.887, 7.56591;
100, 4000, 956617, 166.788, 14.7631, 81.2133, 7.07779;
200, 100, 3.2284e+11, 47637.9, 720.997, 24012.3, 340.527;
200, 200, 1.03364e+11, 45398.1, 698.653, 22866.4, 330.337;
200, 300, 3.4106e+10, 38563.8, 638.27, 19443.2, 301.416;
200, 400, 1.34139e+10, 30937.6, 563.79, 15562.3, 265.722;
200, 500, 6.1866e+09, 24665.2, 495.96, 12409.7, 235.275;
200, 600, 3.21881e+09, 19701.5, 430.257, 9972.61, 205.622;
200, 700, 1.8062e+09, 15882.7, 375.328, 8013.26, 179.019;
200, 800, 1.09964e+09, 12850.9, 327.182, 6502.18, 159.738;
200, 900, 7.07812e+08, 10555.7, 286.617, 5290.38, 140.702;
200, 1000, 4.6241e+08, 8738.46, 254.031, 4377.21, 124.288;
