// x, y, n_BG, n_sig C1N1 1000, n_sig C1C1 1000 
1000, 1000, 1.70503e+08, 30.4986, 14.5488;
1000, 2000, 1.20798e+07, 23.2713, 10.0863;
1000, 3000, 1.97761e+06, 17.6878, 6.60769;
1000, 3100, 1.68136e+06, 17.6745, 6.53379;
1000, 3200, 1.42741e+06, 17.4916, 6.31354;
1000, 3300, 1.25471e+06, 17.2913, 6.28576;
1000, 3400, 1.09814e+06, 16.8264, 6.12069;
1000, 3500, 894701, 16.7119, 6.05873;
1000, 3600, 810230, 16.5162, 5.95131;
1000, 3700, 705778, 15.1911, 5.89572;
1000, 3800, 594341, 14.8226, 5.40555;
1000, 3900, 549246, 14.5809, 4.99135;
1000, 4000, 480781, 14.3288, 4.69463;
1000, 4100, 396970, 13.778, 4.41941;
1000, 4200, 326406, 13.6466, 4.36928;
1000, 4300, 299233, 13.4984, 4.30151;
1000, 4400, 279348, 10.2281, 4.19599;
1000, 4500, 248844, 9.87484, 4.09088;
1000, 4600, 219887, 9.76507, 4.08479;
1000, 4700, 198707, 9.11168, 3.57076;
1000, 4800, 180650, 8.69574, 3.54661;
1000, 4900, 159001, 8.69564, 3.39151;
1000, 5000, 140287, 8.35333, 3.39149;
1000, 5100, 126684, 8.17273, 3.34863;
1000, 5200, 114234, 8.08808, 3.11409;
1000, 5300, 100785, 8.08808, 3.10668;
1000, 5400, 91044.7, 8.08808, 3.10668;
1000, 5500, 82400.3, 7.8198, 2.94867;
1000, 5600, 74686.8, 7.8198, 2.89188;
1000, 5700, 67188.2, 7.7904, 2.89187;
1000, 5800, 60399.4, 6.73512, 2.79106;
1000, 5900, 54304.5, 6.32889, 2.7555;
1000, 6000, 49630.6, 5.70137, 2.58647;
1000, 6100, 45192.3, 5.70137, 2.58647;
1000, 6200, 41243.9, 5.69588, 2.58647;
1000, 6300, 37448.9, 5.69588, 2.57444;
1000, 6400, 33665.6, 5.69588, 2.57444;
1000, 6500, 31228.4, 5.69588, 2.33122;
1000, 6600, 28480.3, 4.61249, 2.33122;
1000, 6700, 25867.9, 3.74041, 2.25284;
1000, 6800, 23916.9, 3.74041, 2.25284;
1000, 6900, 19986.1, 3.74041, 2.14163;
1000, 7000, 18038.1, 3.45633, 2.14163;
1000, 7100, 16948.1, 3.44006, 1.84425;
1000, 7200, 15390.8, 3.44006, 1.84425;
1000, 7300, 14225.6, 3.44006, 1.67532;
1000, 7400, 12481.7, 3.43796, 1.40925;
1000, 7500, 11217.3, 3.43796, 1.40925;
1000, 7600, 10527.1, 3.43796, 1.36132;
1000, 7700, 10031.2, 3.38929, 1.36132;
1000, 7800, 9633.36, 3.38929, 1.36132;
1000, 7900, 8670.43, 3.38929, 1.36132;
1000, 8000, 7900.97, 3.38929, 1.27071;
1000, 8100, 7312.88, 3.38929, 1.0821;
