// x, y, n_BG, n_sig C1N1 1000, n_sig C1C1 1000 
1000, 1000, 1.70503e+08, 4.5027, 1.69166;
1000, 2000, 1.20798e+07, 4.07795, 0.979136;
1000, 3000, 1.97761e+06, 3.51023, 0.572415;
1000, 3100, 1.68136e+06, 3.51022, 0.570687;
1000, 3200, 1.42741e+06, 3.50865, 0.561705;
1000, 3300, 1.25471e+06, 3.5075, 0.561618;
1000, 3400, 1.09814e+06, 3.48719, 0.558901;
1000, 3500, 894701, 3.48656, 0.55837;
1000, 3600, 810230, 3.48338, 0.557414;
1000, 3700, 705778, 3.33449, 0.557029;
1000, 3800, 594341, 3.32103, 0.541768;
1000, 3900, 549246, 3.31626, 0.525983;
1000, 4000, 480781, 3.30574, 0.520382;
1000, 4100, 396970, 3.25772, 0.506517;
1000, 4200, 326406, 3.25617, 0.505038;
1000, 4300, 299233, 3.2526, 0.504655;
1000, 4400, 279348, 1.87628, 0.499692;
1000, 4500, 248844, 1.85908, 0.498212;
1000, 4600, 219887, 1.8577, 0.498204;
1000, 4700, 198707, 1.77617, 0.43604;
1000, 4800, 180650, 1.7589, 0.435908;
1000, 4900, 159001, 1.7589, 0.429398;
1000, 5000, 140287, 1.75212, 0.429398;
1000, 5100, 126684, 1.74967, 0.427434;
1000, 5200, 114234, 1.74831, 0.394129;
1000, 5300, 100785, 1.74831, 0.394107;
1000, 5400, 91044.7, 1.74831, 0.394107;
1000, 5500, 82400.3, 1.73455, 0.37325;
1000, 5600, 74686.8, 1.73455, 0.372377;
1000, 5700, 67188.2, 1.73439, 0.372377;
1000, 5800, 60399.4, 1.52478, 0.370086;
1000, 5900, 54304.5, 1.49325, 0.369744;
1000, 6000, 49630.6, 1.41802, 0.364179;
1000, 6100, 45192.3, 1.41802, 0.364179;
1000, 6200, 41243.9, 1.41801, 0.364179;
1000, 6300, 37448.9, 1.41801, 0.36414;
1000, 6400, 33665.6, 1.41801, 0.36414;
1000, 6500, 31228.4, 1.41801, 0.348123;
1000, 6600, 28480.3, 1.19375, 0.348123;
1000, 6700, 25867.9, 1.12076, 0.346459;
1000, 6800, 23916.9, 1.12076, 0.346459;
1000, 6900, 19986.1, 1.12076, 0.342606;
1000, 7000, 18038.1, 1.10534, 0.342606;
1000, 7100, 16948.1, 1.10529, 0.318662;
1000, 7200, 15390.8, 1.10529, 0.318662;
1000, 7300, 14225.6, 1.10529, 0.287812;
1000, 7400, 12481.7, 1.10529, 0.243891;
1000, 7500, 11217.3, 1.10529, 0.243891;
1000, 7600, 10527.1, 1.10529, 0.242787;
1000, 7700, 10031.2, 1.10506, 0.242787;
1000, 7800, 9633.36, 1.10506, 0.242787;
1000, 7900, 8670.43, 1.10506, 0.242787;
1000, 8000, 7900.97, 1.10506, 0.240564;
