// x, y, n_BG, n_sig(C1N1 1TeV), n_sig(C1N1 3TeV), n_sig(C1C1 1TeV), n_sig(C1C1 3TeV) 
1000, 1000, 1.70503e+08, 14594.8, 263.439, 14082, 247.134;
1000, 2000, 1.20798e+07, 6169.81, 139.199, 5917.43, 141.95;
1000, 3000, 1.97761e+06, 2568.08, 71.9192, 2238.89, 72.8396;
1000, 3100, 1.68136e+06, 2401.48, 69.1209, 2092.81, 69.3855;
1000, 3200, 1.42741e+06, 2171.14, 65.3859, 1917.06, 67.5994;
1000, 3300, 1.25471e+06, 1950.78, 61.0089, 1792.24, 63.8231;
1000, 3400, 1.09814e+06, 1821.86, 58.586, 1630.64, 59.2241;
1000, 3500, 894701, 1714.06, 56.4856, 1533.73, 56.0968;
1000, 3600, 810230, 1608.72, 54.0373, 1404.03, 53.7653;
1000, 3700, 705778, 1433.4, 51.6697, 1325.86, 51.2127;
1000, 3800, 594341, 1302.29, 50.6566, 1178.33, 49.5387;
1000, 3900, 549246, 1157.09, 49.0757, 1008.98, 46.8932;
1000, 4000, 480781, 1089.27, 47.0148, 906.042, 43.076;
1000, 4100, 396970, 1019.28, 40.6793, 813.692, 39.3116;
1000, 4200, 326406, 936.464, 39.7065, 750.986, 39.3116;
1000, 4300, 299233, 880.014, 39.4016, 691.087, 39.3116;
1000, 4400, 279348, 762.019, 35.9555, 633.522, 33.5776;
1000, 4500, 248844, 720.372, 30.0826, 590.266, 30.2856;
1000, 4600, 219887, 683.283, 27.1062, 557.128, 29.0212;
1000, 4700, 198707, 647.815, 26.0816, 470.169, 27.7429;
1000, 4800, 180650, 569.393, 25.194, 448.823, 25.8698;
1000, 4900, 159001, 560.313, 25.1719, 427.811, 24.6159;
1000, 5000, 140287, 472.499, 25.1719, 422.72, 22.6496;
1000, 5100, 126684, 409.087, 24.608, 400.811, 22.6496;
1000, 5200, 114234, 387.628, 21.7115, 371.29, 22.1764;
1000, 5300, 100785, 381.302, 20.7831, 347.908, 21.0624;
1000, 5400, 91044.7, 377.391, 20.5038, 347.908, 19.5645;
1000, 5500, 82400.3, 354.893, 19.5466, 317.483, 18.7902;
1000, 5600, 74686.8, 354.893, 19.5466, 299.258, 17.3655;
1000, 5700, 67188.2, 337.446, 19.1957, 294.215, 15.8622;
1000, 5800, 60399.4, 287.027, 18.3747, 262.07, 14.106;
1000, 5900, 54304.5, 263.43, 16.8687, 249.304, 13.1838;
1000, 6000, 49630.6, 229.918, 16.8687, 217.571, 10.5501;
1000, 6100, 45192.3, 229.918, 16.8687, 217.571, 9.57713;
1000, 6200, 41243.9, 215.533, 16.8687, 217.571, 7.62164;
1000, 6300, 37448.9, 215.533, 15.8258, 206.302, 6.88518;
1000, 6400, 33665.6, 215.533, 15.8258, 206.302, 6.12945;
1000, 6500, 31228.4, 215.533, 14.2547, 190.376, 6.12945;
1000, 6600, 28480.3, 189.118, 14.2547, 190.376, 5.21098;
1000, 6700, 25867.9, 141.549, 13.0828, 176.396, 4.41547;
1000, 6800, 23916.9, 141.549, 12.1508, 176.396, 4.41547;
1000, 6900, 19986.1, 141.549, 10.6946, 157.802, 4.41547;
1000, 7000, 18038.1, 118.902, 10.6946, 157.802, 4.41547;
1000, 7100, 16948.1, 102.604, 10.6946, 141.357, 3.81047;
1000, 7200, 15390.8, 102.604, 10.6946, 141.357, 3.81047;
1000, 7300, 14225.6, 102.604, 10.6946, 123.482, 3.18976;
1000, 7400, 12481.7, 89.7251, 10.6946, 88.1484, 3.18976;
1000, 7500, 11217.3, 89.7251, 9.19041, 88.1484, 3.18976;
1000, 7600, 10527.1, 89.7251, 9.19041, 70.1347, 3.18976;
1000, 7700, 10031.2, 55.5995, 9.19041, 70.1347, 2.16386;
1000, 7800, 9633.36, 55.5995, 7.07073, 70.1347, 2.16386;
1000, 7900, 8670.43, 55.5995, 7.07073, 70.1347, 2.16386;
1000, 8000, 7900.97, 55.5995, 4.57549, 55.9189, 2.16386;
1000, 8100, 7312.88, 55.5995, 4.57549, 36.3541, 2.16386;
1000, 8200, 6626.99, 55.5995, 4.57549, 18.366, 2.16386;
1000, 8300, 5665.54, 55.5995, 4.57549, 18.366, 2.16386;
1000, 8400, 5372.19, 55.5995, 4.57549, 18.366, 2.16386;
1000, 8500, 4701.44, 55.5995, 3.62171, 18.366, 2.16386;
1000, 8600, 4503.34, 55.5995, 3.62171, 18.366, 2.16386;
1000, 8700, 4014.44, 55.5995, 3.62171, 18.366, 2.16386;
1000, 8800, 3817.58, 55.5995, 1.0358, 18.366, 2.16386;
1000, 8900, 3523.81, 55.5995, 1.0358, 18.366, 1.74197;
1000, 9000, 3325.13, 55.5995, 1.0358, 18.366, 1.74197;
1000, 9100, 2642.69, 55.5995, 1.0358, 18.366, 1.74197;
1000, 9200, 2447.6, 55.5995, 1.0358, 18.366, 1.74197;
1000, 9300, 2155.57, 55.5995, 1.0358, 18.366, 1.74197;
