// cut 1 = leading jet pt > 1 TeV
// cut 2 = MET > 1 TeV
// process, range, efficiency cut 1, efficiency cut 2, efficiency cut 1 && cut2
W+jets, 0_150, 0.000002, 0.000000, 0.000000;
W+jets, 150_300, 0.000000, 0.000000, 0.000000;
W+jets, 300_500, 0.000002, 0.000000, 0.000000;
W+jets, 500_1000, 0.000025, 0.000000, 0.000000;
W+jets, 1000_2000, 0.041324, 0.001277, 0.000956;
W+jets, 2000_5000, 0.799455, 0.010004, 0.009705;
W+jets, 5000_100000, 0.999989, 0.074945, 0.074945;
Z+jets, 0_150, 0.000001, 0.000000, 0.000000;
Z+jets, 150_300, 0.000000, 0.000000, 0.000000;
Z+jets, 300_500, 0.000004, 0.000000, 0.000000;
Z+jets, 500_1000, 0.000054, 0.000004, 0.000000;
Z+jets, 1000_2000, 0.046324, 0.004239, 0.002752;
Z+jets, 2000_5000, 0.803100, 0.016206, 0.015475;
Z+jets, 5000_100000, 0.999990, 0.083906, 0.083906;
ttbar, 0_600, 0.000260, 0.000010, 0.000010;
ttbar, 600_1200, 0.000162, 0.000001, 0.000001;
ttbar, 1200_2100, 0.011425, 0.000029, 0.000010;
ttbar, 2100_3400, 0.509608, 0.003525, 0.002354;
ttbar, 3400_5300, 0.969049, 0.041554, 0.039155;
ttbar, 5300_8100, 0.999354, 0.132510, 0.132324;
ttbar, 8100_15000, 0.999964, 0.264893, 0.264889;
ttbar, 15000_25000, 0.999999, 0.469838, 0.469838;
ttbar, 25000_35000, 1.000000, 0.639294, 0.639294;
ttbar, 35000_100000, 1.000000, 0.749638, 0.749638;
topsingle, , 0.000787, 0.000005, 0.000004;
multijets, 0_500, 0.000002, 0.000000, 0.000000;
multijets, 500_1000, 0.000002, 0.000000, 0.000000;
multijets, 1000_2000, 0.000517, 0.000000, 0.000000;
multijets, 2000_4000, 0.580734, 0.000563, 0.000563;
multijets, 4000_7200, 0.998631, 0.017315, 0.017315;
multijets, 7200_15000, 1.000000, 0.089664, 0.089664;
multijets, 15000_25000, 1.000000, 0.279119, 0.279119;
multijets, 25000_35000, 1.000000, 0.446595, 0.446595;
multijets, 35000_100000, 1.000000, 0.558621, 0.558621;
