// mass, C1C1/C1N1, mean betagamma, tot_charginos, tot_charginos_eta, tot_events,   entries h2_pred, tot integral of histo, e_counter, e_counter_single 
700, C1N1, 0.269568, 99990.000000, 23354.000000, 100000.000000, 95641, 343.567, 5.12378, 5.12378
700, C1C1, 0.266428, 199987.000000, 46497.000000, 100000.000000, 95613, 201.415, 10.6171, 10.7836
800, C1N1, 0.273625, 99998.000000, 24184.000000, 100000.000000, 95421, 194.704, 4.75185, 4.75185
800, C1C1, 0.268039, 199985.000000, 47726.000000, 100000.000000, 95502, 96.5386, 8.3205, 8.40284
900, C1N1, 0.278162, 99999.000000, 25051.000000, 100000.000000, 95143, 106.117, 3.80159, 3.80159
900, C1C1, 0.273814, 199989.000000, 49561.000000, 100000.000000, 95342, 57.7282, 7.55121, 7.62673
1000, C1N1, 0.279392, 99993.000000, 25630.000000, 100000.000000, 95019, 80.3122, 3.93306, 3.93306
1000, C1C1, 0.275715, 159990.000000, 40804.000000, 80000.000000, 76015, 34.357, 4.74477, 4.76496
1100, C1N1, 0.285421, 99995.000000, 26667.000000, 100000.000000, 94923, 36.6732, 2.93651, 2.93651
1100, C1C1, 0.274716, 199985.000000, 52297.000000, 100000.000000, 94970, 17.1425, 4.83845, 4.91244
1200, C1N1, 0.282608, 99997.000000, 26966.000000, 100000.000000, 94785, 21.6224, 2.31666, 2.31666
1200, C1C1, 0.28154, 199989.000000, 54093.000000, 100000.000000, 94832, 14.7654, 5.21556, 5.23733
1300, C1N1, 0.291256, 99997.000000, 27939.000000, 100000.000000, 94800, 16.0217, 2.31608, 2.31608
1300, C1C1, 0.283032, 199994.000000, 54856.000000, 100000.000000, 94741, 10.489, 4.67005, 4.70508
1400, C1N1, 0.290295, 99997.000000, 28406.000000, 100000.000000, 94587, 12.7671, 2.0775, 2.0775
1400, C1C1, 0.285857, 199996.000000, 56137.000000, 100000.000000, 94497, 7.17368, 4.39898, 4.42152
1500, C1N1, 0.292457, 99997.000000, 28960.000000, 100000.000000, 94441, 7.19336, 1.9468, 1.9468
1500, C1C1, 0.289122, 199995.000000, 57778.000000, 100000.000000, 94497, 4.2621, 3.59249, 3.60481
