// higgsino/wino, mass, leading jet pt cut, met cut, sign 
Higgsino, 700, 10000, 7600, 0;
Higgsino, 800, 10000, 7600, 0;
Higgsino, 900, 10000, 7600, 0.29872066324976421;
Higgsino, 1000, 10000, 7600, 18.089848201007758;
Higgsino, 1100, 10000, 7600, 11.265374222834298;
Higgsino, 1200, 10000, 7600, 5.2599840449341162;
Higgsino, 1300, 10000, 7600, 0;
Higgsino, 1400, 10000, 7600, 0.14261988304848189;
Higgsino, 1500, 10000, 7600, 0.0045194890347311648;
Higgsino, 700, 9400, 9300, 0;
Higgsino, 800, 9400, 9300, 0;
Higgsino, 900, 9400, 9300, 0.36806957089521825;
Higgsino, 1000, 9400, 9300, 48.627318215582285;
Higgsino, 1100, 9400, 9300, 0;
Higgsino, 1200, 9400, 9300, 6.4811052883738629;
Higgsino, 1300, 9400, 9300, 0;
Higgsino, 1400, 9400, 9300, 0.17572952129826383;
Higgsino, 1500, 9400, 9300, 0.70065596745112679;
Higgsino, 700, 0, 0, 0.028835329660072493;
Higgsino, 800, 0, 0, 0.016341355017501114;
Higgsino, 900, 0, 0, 0.0089063511060911409;
Higgsino, 1000, 0, 0, 0.0067405508901669034;
Higgsino, 1100, 0, 0, 0.0030779551872943569;
Higgsino, 1200, 0, 0, 0.0018147549780228118;
Higgsino, 1300, 0, 0, 0.0013446914069335967;
Higgsino, 1400, 0, 0, 0.0010715303328975817;
Higgsino, 1500, 0, 0, 0.0006037343314020952;
