// higgsino/wino, mass, leading jet pt cut, met cut, sign 
Higgsino, 700, 10000, 7600, 61.374071584486686;
Higgsino, 800, 10000, 7600, 0.49754168905449814;
Higgsino, 900, 10000, 7600, 0.45221086093219309;
Higgsino, 1000, 10000, 7600, 27.384867655675507;
Higgsino, 1100, 10000, 7600, 17.053807127402507;
Higgsino, 1200, 10000, 7600, 14.689897832282693;
Higgsino, 1300, 10000, 7600, 0;
Higgsino, 1400, 10000, 7600, 4.693528465397395;
Higgsino, 1500, 10000, 7600, 2.7693529659006395;
Higgsino, 700, 9400, 9300, 0;
Higgsino, 800, 9400, 9300, 0;
Higgsino, 900, 9400, 9300, 0.55719298332670975;
Higgsino, 1000, 9400, 9300, 91.866309123147687;
Higgsino, 1100, 9400, 9300, 0;
Higgsino, 1200, 9400, 9300, 19.415233515012517;
Higgsino, 1300, 9400, 9300, 0;
Higgsino, 1400, 9400, 9300, 4.3110039061373469;
Higgsino, 1500, 9400, 9300, 6.0585450787687343;
Higgsino, 700, 1000, 9300, 0;
Higgsino, 800, 1000, 9300, 0;
Higgsino, 900, 1000, 9300, 17.35001877128138;
Higgsino, 1000, 1000, 9300, 83.164323568524281;
Higgsino, 1100, 1000, 9300, 0;
Higgsino, 1200, 1000, 9300, 22.520615845295989;
Higgsino, 1300, 1000, 9300, 2.1645891134126281;
Higgsino, 1400, 1000, 9300, 9.8668965024903752;
Higgsino, 1500, 1000, 9300, 9.0758634391936646;
