// higgsino/wino, mass, leading jet pt cut, met cut, sign 
Wino, 700, 1000, 3100, 5651.0640946596559;
Wino, 800, 1000, 3100, 5704.9300835887052;
Wino, 900, 1000, 3100, 3218.9731126022079;
Wino, 1000, 1000, 3100, 3381.3386794531416;
Wino, 1100, 1000, 3100, 3025.1892277294774;
Wino, 1200, 1000, 3100, 2080.8173772458795;
Wino, 1300, 1000, 3100, 1751.6717742400258;
Wino, 1400, 1000, 3100, 1336.8128037120675;
Wino, 1500, 1000, 3100, 1167.9297416259028;
Wino, 1600, 1000, 3100, 811.58175269981541;
Wino, 1700, 1000, 3100, 942.32540958767129;
Wino, 1800, 1000, 3100, 646.68807521406723;
Wino, 1900, 1000, 3100, 706.55712145408518;
Wino, 2000, 1000, 3100, 456.47539037925662;
Wino, 2100, 1000, 3100, 415.05893171805371;
Wino, 2200, 1000, 3100, 328.39991434094128;
Wino, 2300, 1000, 3100, 322.05167502107309;
Wino, 2400, 1000, 3100, 195.77891544698295;
Wino, 2500, 1000, 3100, 214.43277144127447;
Wino, 2600, 1000, 3100, 196.21307394654733;
Wino, 2700, 1000, 3100, 131.94657423540161;
Wino, 2800, 1000, 3100, 104.31935471806206;
Wino, 2900, 1000, 3100, 96.284467345481019;
Wino, 3000, 1000, 3100, 97.323846260167528;
Wino, 3100, 1000, 3100, 90.826329509117528;
Wino, 3200, 1000, 3100, 78.296882154623219;
Wino, 3300, 1000, 3100, 78.642796901274679;
Wino, 3400, 1000, 3100, 68.685425442939106;
Wino, 3500, 1000, 3100, 48.704778089113738;
Wino, 3600, 1000, 3100, 48.409638187409762;
Wino, 3700, 1000, 3100, 33.056384911743102;
Wino, 3800, 1000, 3100, 34.978554934964301;
Wino, 3900, 1000, 3100, 28.281734338239421;
Wino, 4000, 1000, 3100, 32.288591885898441;
Wino, 4100, 1000, 3100, 24.079876678180742;
Wino, 4200, 1000, 3100, 26.704012107367323;
Wino, 4300, 1000, 3100, 22.989292817709298;
Wino, 4400, 1000, 3100, 23.818393231229759;
Wino, 4500, 1000, 3100, 16.736632996887259;
Wino, 4600, 1000, 3100, 13.088200807627363;
Wino, 700, 1000, 8400, 0;
Wino, 800, 1000, 8400, 2141.6165869709116;
Wino, 900, 1000, 8400, 1840.9063015804022;
Wino, 1000, 1000, 8400, 1384.9531559488428;
Wino, 1100, 1000, 8400, 764.07443470001249;
Wino, 1200, 1000, 8400, 913.68037541946342;
Wino, 1300, 1000, 8400, 238.12980248763208;
Wino, 1400, 1000, 8400, 642.68702193700472;
Wino, 1500, 1000, 8400, 611.2338189127546;
Wino, 1600, 1000, 8400, 0;
Wino, 1700, 1000, 8400, 726.24789469719963;
Wino, 1800, 1000, 8400, 677.9669400056182;
Wino, 1900, 1000, 8400, 648.45135942687409;
Wino, 2000, 1000, 8400, 1589.3514329636234;
Wino, 2100, 1000, 8400, 295.20005990657586;
Wino, 2200, 1000, 8400, 361.49585425409839;
Wino, 2300, 1000, 8400, 0;
Wino, 2400, 1000, 8400, 174.32741188295154;
Wino, 2500, 1000, 8400, 606.50817990383291;
Wino, 2600, 1000, 8400, 332.34706247126286;
Wino, 2700, 1000, 8400, 297.99426353680832;
Wino, 2800, 1000, 8400, 0;
Wino, 2900, 1000, 8400, 0;
Wino, 3000, 1000, 8400, 113.97276425779206;
Wino, 3100, 1000, 8400, 155.05303334074981;
Wino, 3200, 1000, 8400, 101.99047533909622;
Wino, 3300, 1000, 8400, 206.41439360629198;
Wino, 3400, 1000, 8400, 61.811597336045139;
Wino, 3500, 1000, 8400, 23.589354089934133;
Wino, 3600, 1000, 8400, 33.527408521596456;
Wino, 3700, 1000, 8400, 18.612330585552932;
Wino, 3800, 1000, 8400, 74.284457024719003;
Wino, 3900, 1000, 8400, 52.541836284454916;
Wino, 4000, 1000, 8400, 32.488963954339525;
Wino, 4100, 1000, 8400, 14.810277074896744;
Wino, 4200, 1000, 8400, 57.137853168443776;
Wino, 4300, 1000, 8400, 11.133320037045642;
Wino, 4400, 1000, 8400, 33.899579682614309;
Wino, 4500, 1000, 8400, 23.637547628270006;
Wino, 4600, 1000, 8400, 22.25486477461402;
Wino, 700, 6800, 7400, 0;
Wino, 800, 6800, 7400, 2420.1109797220488;
Wino, 900, 6800, 7400, 2839.3885507611653;
Wino, 1000, 6800, 7400, 1243.7372007445897;
Wino, 1100, 6800, 7400, 824.27103032751336;
Wino, 1200, 6800, 7400, 1537.9393906760645;
Wino, 1300, 6800, 7400, 164.2451874233443;
Wino, 1400, 6800, 7400, 559.50213148833313;
Wino, 1500, 6800, 7400, 608.67914385351526;
Wino, 1600, 6800, 7400, 0;
Wino, 1700, 6800, 7400, 810.432055083205;
Wino, 1800, 6800, 7400, 573.87415377597574;
Wino, 1900, 6800, 7400, 823.09533543269083;
Wino, 2000, 6800, 7400, 956.13547738761747;
Wino, 2100, 6800, 7400, 203.39979563034208;
Wino, 2200, 6800, 7400, 249.07915973922755;
Wino, 2300, 6800, 7400, 0;
Wino, 2400, 6800, 7400, 170.436851263351;
Wino, 2500, 6800, 7400, 363.84176638452692;
Wino, 2600, 6800, 7400, 248.74296111227807;
Wino, 2700, 6800, 7400, 249.65302578152151;
Wino, 2800, 6800, 7400, 40.089813020380092;
Wino, 2900, 6800, 7400, 64.783833525579425;
