// x, y, n_BG, n_sig C1N1 1000, n_sig C1C1 1000 
1000, 1000, 7.70056e+07+/-1.7695e+06, 25.3532+/-4.39822, 12.5281+/-4.39822;
1000, 2000, 5.86708e+06+/-201702, 18.7408+/-4.15301, 8.41191+/-4.15301;
1000, 3000, 1.00948e+06+/-74000.9, 13.4668+/-3.78247, 5.32469+/-3.78247;
1000, 3100, 906534+/-69831.3, 13.4535+/-3.78246, 5.25356+/-3.78246;
1000, 3200, 786768+/-64476.7, 13.3558+/-3.78226, 5.04718+/-3.78226;
1000, 3300, 704396+/-60642.1, 13.1554+/-3.78146, 5.0214+/-3.78146;
1000, 3400, 622409+/-56546.7, 12.7384+/-3.76768, 4.85633+/-3.76768;
1000, 3500, 480646+/-44447.3, 12.6259+/-3.76725, 4.79436+/-3.76725;
1000, 3600, 437020+/-41658, 12.5014+/-3.76571, 4.68891+/-3.76571;
1000, 3700, 379930+/-37616.3, 11.1981+/-3.66082, 4.65658+/-3.66082;
1000, 3800, 316677+/-32480.7, 11.1222+/-3.6604, 4.265+/-3.6604;
1000, 3900, 298134+/-31216.6, 10.8829+/-3.65698, 3.85371+/-3.65698;
1000, 4000, 254333+/-27095.9, 10.6308+/-3.64945, 3.58713+/-3.64945;
1000, 4100, 199144+/-20353.9, 10.08+/-3.61485, 3.31192+/-3.61485;
1000, 4200, 162716+/-14632.6, 9.95206+/-3.61373, 3.26178+/-3.61373;
1000, 4300, 150602+/-13169, 9.8129+/-3.61115, 3.21339+/-3.61115;
1000, 4400, 144988+/-13144.4, 6.5426+/-2.41606, 3.11168+/-2.41606;
1000, 4500, 126724+/-9611.98, 6.18935+/-2.39736, 3.00657+/-2.39736;
1000, 4600, 112684+/-7170.09, 6.1587+/-2.39716, 3.00049+/-2.39716;
1000, 4700, 106245+/-7126.54, 5.50531+/-2.30644, 2.48646+/-2.30644;
1000, 4800, 97844.6+/-7047.03, 5.10257+/-2.2868, 2.46451+/-2.2868;
1000, 4900, 84518.5+/-2987.86, 5.10247+/-2.2868, 2.30941+/-2.2868;
1000, 5000, 76479+/-2836.08, 4.76017+/-2.27903, 2.30939+/-2.27903;
1000, 5100, 68064.9+/-2649.35, 4.57956+/-2.27622, 2.26652+/-2.27622;
1000, 5200, 61965.4+/-2514.63, 4.57956+/-2.27622, 2.03199+/-2.27622;
1000, 5300, 55380.7+/-2362.32, 4.57956+/-2.27622, 2.02458+/-2.27622;
1000, 5400, 50238.5+/-2254.25, 4.57956+/-2.27622, 2.02458+/-2.27622;
1000, 5500, 45484.3+/-2149.5, 4.31128+/-2.26036, 1.86657+/-2.26036;
1000, 5600, 40924.1+/-2044, 4.31128+/-2.26036, 1.80978+/-2.26036;
1000, 5700, 36655.1+/-1940.03, 4.28188+/-2.26016, 1.80977+/-2.26016;
1000, 5800, 32968.2+/-1845.54, 3.22671+/-2.00283, 1.70896+/-2.00283;
1000, 5900, 30057.4+/-1767.37, 3.22671+/-2.00283, 1.6734+/-2.00283;
1000, 6000, 27236.7+/-1688.36, 2.59919+/-1.90201, 1.50437+/-1.90201;
1000, 6100, 25005.2+/-1622.97, 2.59919+/-1.90201, 1.50437+/-1.90201;
1000, 6200, 22094.5+/-1533.5, 2.59369+/-1.902, 1.50437+/-1.902;
1000, 6300, 19862.9+/-1461.2, 2.59369+/-1.902, 1.49234+/-1.902;
1000, 6400, 18019.4+/-1398.66, 2.59369+/-1.902, 1.49234+/-1.902;
1000, 6500, 16661.1+/-1350.72, 2.59369+/-1.902, 1.24912+/-1.902;
1000, 6600, 15496.8+/-1308.24, 2.59369+/-1.902, 1.24912+/-1.902;
1000, 6700, 14429.5+/-1268.04, 2.18685+/-1.85798, 1.17074+/-1.85798;
1000, 6800, 13168.2+/-1218.84, 2.18685+/-1.85798, 1.17074+/-1.85798;
1000, 6900, 11809.9+/-1163.52, 2.18685+/-1.85798, 1.05953+/-1.85798;
1000, 7000, 10174+/-1044.55, 1.90277+/-1.83613, 1.05953+/-1.83613;
1000, 7100, 9300.79+/-1003.18, 1.8865+/-1.83606, 0.762154+/-1.83606;
1000, 7200, 8330.55+/-955.105, 1.8865+/-1.83606, 0.762154+/-1.83606;
1000, 7300, 7748.41+/-925.064, 1.8865+/-1.83606, 0.593224+/-1.83606;
1000, 7400, 6584.12+/-861.847, 1.8844+/-1.83606, 0.32715+/-1.83606;
1000, 7500, 6099+/-834.093, 1.8844+/-1.83606, 0.32715+/-1.83606;
1000, 7600, 5516.85+/-799.518, 1.8844+/-1.83606, 0.279219+/-1.83606;
1000, 7700, 5225.78+/-781.657, 1.83573+/-1.83573, 0.279219+/-1.83573;
1000, 7800, 4934.71+/-763.379, 1.83573+/-1.83573, 0.279219+/-1.83573;
1000, 7900, 4546.61+/-738.304, 1.83573+/-1.83573, 0.279219+/-1.83573;
1000, 8000, 3783.94+/-605.916, 1.83573+/-1.83573, 0.188611+/-1.83573;
1000, 8100, 3298.82+/-565.743, 1.83573+/-1.83573, 0+/-1.83573;
1000, 8200, 2813.7+/-522.491, 1.83573+/-1.83573, 0+/-1.83573;
1000, 8300, 2328.58+/-475.319, 1.83573+/-1.83573, 0+/-1.83573;
1000, 8400, 2231.56+/-465.311, 1.83573+/-1.83573, 0+/-1.83573;
1000, 8500, 2037.51+/-444.62, 1.83573+/-1.83573, 0+/-1.83573;
1000, 8600, 1940.48+/-433.905, 1.83573+/-1.83573, 0+/-1.83573;
1000, 8700, 1552.39+/-388.097, 1.83573+/-1.83573, 0+/-1.83573;
1000, 8800, 1455.36+/-375.773, 1.83573+/-1.83573, 0+/-1.83573;
1000, 8900, 1164.29+/-336.102, 1.83573+/-1.83573, 0+/-1.83573;
1000, 9000, 1067.27+/-321.793, 1.83573+/-1.83573, 0+/-1.83573;
1000, 9100, 582.145+/-237.66, 1.83573+/-1.83573, 0+/-1.83573;
1000, 9200, 582.145+/-237.66, 1.83573+/-1.83573, 0+/-1.83573;
1000, 9300, 388.097+/-194.048, 1.83573+/-1.83573, 0+/-1.83573;
1000, 9400, 388.097+/-194.048, 1.83573+/-1.83573, 0+/-1.83573;
1000, 9500, 194.048+/-137.213, 0+/-0, 0+/-0;
1000, 9600, 0+/-0, 0+/-0, 0+/-0;
1000, 9700, 0+/-0, 0+/-0, 0+/-0;
1000, 9800, 0+/-0, 0+/-0, 0+/-0;
1000, 9900, 0+/-0, 0+/-0, 0+/-0;
1000, 10000, 194.048+/-137.213, 0+/-0, 0+/-0;
2000, 1000, 9.35425e+06+/-390044, 17.0447+/-3.95867, 6.55574+/-3.95867;
2000, 2000, 4.30712e+06+/-171994, 16.1706+/-3.92322, 6.31765+/-3.92322;
2000, 3000, 983431+/-72913.5, 12.9859+/-3.76973, 5.17145+/-3.76973;
2000, 3100, 886997+/-68968.1, 12.9726+/-3.76972, 5.10243+/-3.76972;
2000, 3200, 773744+/-63854.3, 12.8782+/-3.76952, 4.89605+/-3.76952;
2000, 3300, 691371+/-59979.9, 12.6999+/-3.76876, 4.8732+/-3.76876;
2000, 3400, 609384+/-55835.9, 12.283+/-3.75494, 4.71711+/-3.75494;
2000, 3500, 480258+/-44446.9, 12.2046+/-3.75466, 4.65515+/-3.75466;
2000, 3600, 436632+/-41657.6, 12.0801+/-3.75312, 4.55145+/-3.75312;
2000, 3700, 379542+/-37615.8, 10.7768+/-3.64787, 4.51912+/-3.64787;
2000, 3800, 316288+/-32480.1, 10.7008+/-3.64744, 4.12754+/-3.64744;
2000, 3900, 297843+/-31216.2, 10.4616+/-3.64401, 3.71625+/-3.64401;
2000, 4000, 254139+/-27095.5, 10.2095+/-3.63645, 3.55305+/-3.63645;
2000, 4100, 198950+/-20353.4, 9.6587+/-3.60173, 3.31192+/-3.60173;
2000, 4200, 162522+/-14631.9, 9.65784+/-3.60173, 3.26178+/-3.60173;
2000, 4300, 150408+/-13168.3, 9.51867+/-3.59915, 3.21339+/-3.59915;
