// x, y, n_BG, n_sig C1N1 1000, n_sig C1C1 1000 
1000, 1000, 7.70056e+07, 25.3532, 12.5281;
1000, 2000, 5.86708e+06, 18.7408, 8.41191;
1000, 3000, 1.00948e+06, 13.4668, 5.32469;
1000, 3100, 906534, 13.4535, 5.25356;
1000, 3200, 786768, 13.3558, 5.04718;
1000, 3300, 704396, 13.1554, 5.0214;
1000, 3400, 622409, 12.7384, 4.85633;
1000, 3500, 480646, 12.6259, 4.79436;
1000, 3600, 437020, 12.5014, 4.68891;
1000, 3700, 379930, 11.1981, 4.65658;
1000, 3800, 316677, 11.1222, 4.265;
1000, 3900, 298134, 10.8829, 3.85371;
1000, 4000, 254333, 10.6308, 3.58713;
1000, 4100, 199144, 10.08, 3.31192;
1000, 4200, 162716, 9.95206, 3.26178;
1000, 4300, 150602, 9.8129, 3.21339;
1000, 4400, 144988, 6.5426, 3.11168;
1000, 4500, 126724, 6.18935, 3.00657;
1000, 4600, 112684, 6.1587, 3.00049;
1000, 4700, 106245, 5.50531, 2.48646;
1000, 4800, 97844.6, 5.10257, 2.46451;
1000, 4900, 84518.5, 5.10247, 2.30941;
1000, 5000, 76479, 4.76017, 2.30939;
1000, 5100, 68064.9, 4.57956, 2.26652;
1000, 5200, 61965.4, 4.57956, 2.03199;
1000, 5300, 55380.7, 4.57956, 2.02458;
1000, 5400, 50238.5, 4.57956, 2.02458;
1000, 5500, 45484.3, 4.31128, 1.86657;
1000, 5600, 40924.1, 4.31128, 1.80978;
1000, 5700, 36655.1, 4.28188, 1.80977;
1000, 5800, 32968.2, 3.22671, 1.70896;
1000, 5900, 30057.4, 3.22671, 1.6734;
1000, 6000, 27236.7, 2.59919, 1.50437;
1000, 6100, 25005.2, 2.59919, 1.50437;
1000, 6200, 22094.5, 2.59369, 1.50437;
1000, 6300, 19862.9, 2.59369, 1.49234;
1000, 6400, 18019.4, 2.59369, 1.49234;
1000, 6500, 16661.1, 2.59369, 1.24912;
1000, 6600, 15496.8, 2.59369, 1.24912;
1000, 6700, 14429.5, 2.18685, 1.17074;
1000, 6800, 13168.2, 2.18685, 1.17074;
1000, 6900, 11809.9, 2.18685, 1.05953;
1000, 7000, 10174, 1.90277, 1.05953;
1000, 7100, 9300.79, 1.8865, 0.762154;
1000, 7200, 8330.55, 1.8865, 0.762154;
1000, 7300, 7748.41, 1.8865, 0.593224;
1000, 7400, 6584.12, 1.8844, 0.32715;
1000, 7500, 6099, 1.8844, 0.32715;
1000, 7600, 5516.85, 1.8844, 0.279219;
1000, 7700, 5225.78, 1.83573, 0.279219;
1000, 7800, 4934.71, 1.83573, 0.279219;
1000, 7900, 4546.61, 1.83573, 0.279219;
1000, 8000, 3783.94, 1.83573, 0.188611;
1000, 8100, 3298.82, 1.83573, 0;
1000, 8200, 2813.7, 1.83573, 0;
1000, 8300, 2328.58, 1.83573, 0;
1000, 8400, 2231.56, 1.83573, 0;
1000, 8500, 2037.51, 1.83573, 0;
1000, 8600, 1940.48, 1.83573, 0;
1000, 8700, 1552.39, 1.83573, 0;
1000, 8800, 1455.36, 1.83573, 0;
1000, 8900, 1164.29, 1.83573, 0;
1000, 9000, 1067.27, 1.83573, 0;
1000, 9100, 582.145, 1.83573, 0;
1000, 9200, 582.145, 1.83573, 0;
1000, 9300, 388.097, 1.83573, 0;
1000, 9400, 388.097, 1.83573, 0;
1000, 9500, 194.048, 0, 0;
1000, 9600, 0, 0, 0;
1000, 9700, 0, 0, 0;
1000, 9800, 0, 0, 0;
1000, 9900, 0, 0, 0;
1000, 10000, 194.048, 0, 0;
2000, 1000, 9.35425e+06, 17.0447, 6.55574;
2000, 2000, 4.30712e+06, 16.1706, 6.31765;
2000, 3000, 983431, 12.9859, 5.17145;
2000, 3100, 886997, 12.9726, 5.10243;
2000, 3200, 773744, 12.8782, 4.89605;
2000, 3300, 691371, 12.6999, 4.8732;
2000, 3400, 609384, 12.283, 4.71711;
2000, 3500, 480258, 12.2046, 4.65515;
2000, 3600, 436632, 12.0801, 4.55145;
2000, 3700, 379542, 10.7768, 4.51912;
2000, 3800, 316288, 10.7008, 4.12754;
2000, 3900, 297843, 10.4616, 3.71625;
2000, 4000, 254139, 10.2095, 3.55305;
2000, 4100, 198950, 9.6587, 3.31192;
2000, 4200, 162522, 9.65784, 3.26178;
2000, 4300, 150408, 9.51867, 3.21339;
2000, 4400, 144891, 6.24837, 3.11168;
2000, 4500, 126627, 6.18935, 3.00657;
2000, 4600, 112587, 6.1587, 3.00049;
2000, 4700, 106148, 5.50531, 2.48646;
2000, 4800, 97747.5, 5.10257, 2.46451;
2000, 4900, 84421.4, 5.10247, 2.30941;
2000, 5000, 76479, 4.76017, 2.30939;
2000, 5100, 68064.9, 4.57956, 2.26652;
2000, 5200, 61965.4, 4.57956, 2.03199;
2000, 5300, 55380.7, 4.57956, 2.02458;
2000, 5400, 50238.5, 4.57956, 2.02458;
2000, 5500, 45484.3, 4.31128, 1.86657;
2000, 5600, 40924.1, 4.31128, 1.80978;
2000, 5700, 36655.1, 4.28188, 1.80977;
2000, 5800, 32968.2, 3.22671, 1.70896;
2000, 5900, 30057.4, 3.22671, 1.6734;
2000, 6000, 27236.7, 2.59919, 1.50437;
2000, 6100, 25005.2, 2.59919, 1.50437;
2000, 6200, 22094.5, 2.59369, 1.50437;
2000, 6300, 19862.9, 2.59369, 1.49234;
2000, 6400, 18019.4, 2.59369, 1.49234;
2000, 6500, 16661.1, 2.59369, 1.24912;
2000, 6600, 15496.8, 2.59369, 1.24912;
2000, 6700, 14429.5, 2.18685, 1.17074;
2000, 6800, 13168.2, 2.18685, 1.17074;
2000, 6900, 11809.9, 2.18685, 1.05953;
2000, 7000, 10174, 1.90277, 1.05953;
2000, 7100, 9300.79, 1.8865, 0.762154;
2000, 7200, 8330.55, 1.8865, 0.762154;
2000, 7300, 7748.41, 1.8865, 0.593224;
2000, 7400, 6584.12, 1.8844, 0.32715;
2000, 7500, 6099, 1.8844, 0.32715;
2000, 7600, 5516.85, 1.8844, 0.279219;
2000, 7700, 5225.78, 1.83573, 0.279219;
2000, 7800, 4934.71, 1.83573, 0.279219;
2000, 7900, 4546.61, 1.83573, 0.279219;
2000, 8000, 3783.94, 1.83573, 0.188611;
2000, 8100, 3298.82, 1.83573, 0;
2000, 8200, 2813.7, 1.83573, 0;
2000, 8300, 2328.58, 1.83573, 0;
2000, 8400, 2231.56, 1.83573, 0;
2000, 8500, 2037.51, 1.83573, 0;
2000, 8600, 1940.48, 1.83573, 0;
2000, 8700, 1552.39, 1.83573, 0;
2000, 8800, 1455.36, 1.83573, 0;
2000, 8900, 1164.29, 1.83573, 0;
2000, 9000, 1067.27, 1.83573, 0;
2000, 9100, 582.145, 1.83573, 0;
2000, 9200, 582.145, 1.83573, 0;
2000, 9300, 388.097, 1.83573, 0;
2000, 9400, 388.097, 1.83573, 0;
2000, 9500, 194.048, 0, 0;
2000, 9600, 0, 0, 0;
2000, 9700, 0, 0, 0;
2000, 9800, 0, 0, 0;
2000, 9900, 0, 0, 0;
2000, 10000, 194.048, 0, 0;
3000, 1000, 3.02383e+06, 10.3601, 4.02526;
3000, 2000, 1.18866e+06, 10.3237, 4.01351;
3000, 3000, 831555, 9.10862, 3.92116;
3000, 3100, 774860, 9.1004, 3.87584;
3000, 3200, 687849, 9.02157, 3.86073;
3000, 3300, 625110, 8.91165, 3.85415;
3000, 3400, 550398, 8.80892, 3.80588;
3000, 3500, 440809, 8.74071, 3.74761;
3000, 3600, 403985, 8.61625, 3.67231;
3000, 3700, 347672, 7.77238, 3.65708;
3000, 3800, 297734, 7.75839, 3.40634;
3000, 3900, 279773, 7.52577, 3.03692;
3000, 4000, 236555, 7.29168, 2.89938;
3000, 4100, 194584, 6.74089, 2.65825;
3000, 4200, 158641, 6.74003, 2.60812;
3000, 4300, 146818, 6.60087, 2.55973;
3000, 4400, 141786, 5.95911, 2.45802;
3000, 4500, 124202, 5.90008, 2.38716;
3000, 4600, 110550, 5.86943, 2.38108;
3000, 4700, 104111, 5.21604, 2.08972;
3000, 4800, 96098.1, 5.10257, 2.06776;
3000, 4900, 83257.1, 5.10247, 1.91266;
3000, 5000, 75702.8, 4.76017, 1.91264;
3000, 5100, 67385.8, 4.57956, 1.91236;
3000, 5200, 61383.2, 4.57956, 1.67783;
3000, 5300, 54992.6, 4.57956, 1.67042;
3000, 5400, 49850.4, 4.57956, 1.67042;
3000, 5500, 45193.2, 4.31128, 1.51241;
3000, 5600, 40730.1, 4.31128, 1.5124;
3000, 5700, 36558.1, 4.28188, 1.51239;
3000, 5800, 32968.2, 3.22671, 1.41159;
3000, 5900, 30057.4, 3.22671, 1.37602;
3000, 6000, 27236.7, 2.59919, 1.20699;
3000, 6100, 25005.2, 2.59919, 1.20699;
3000, 6200, 22094.5, 2.59369, 1.20699;
3000, 6300, 19862.9, 2.59369, 1.19497;
3000, 6400, 18019.4, 2.59369, 1.19497;
3000, 6500, 16661.1, 2.59369, 0.951747;
3000, 6600, 15496.8, 2.59369, 0.951747;
3000, 6700, 14429.5, 2.18685, 0.873368;
3000, 6800, 13168.2, 2.18685, 0.873368;
3000, 6900, 11809.9, 2.18685, 0.762154;
3000, 7000, 10174, 1.90277, 0.762154;
3000, 7100, 9300.79, 1.8865, 0.762154;
3000, 7200, 8330.55, 1.8865, 0.762154;
3000, 7300, 7748.41, 1.8865, 0.593224;
3000, 7400, 6584.12, 1.8844, 0.32715;
3000, 7500, 6099, 1.8844, 0.32715;
3000, 7600, 5516.85, 1.8844, 0.279219;
3000, 7700, 5225.78, 1.83573, 0.279219;
3000, 7800, 4934.71, 1.83573, 0.279219;
3000, 7900, 4546.61, 1.83573, 0.279219;
3000, 8000, 3783.94, 1.83573, 0.188611;
3000, 8100, 3298.82, 1.83573, 0;
3000, 8200, 2813.7, 1.83573, 0;
3000, 8300, 2328.58, 1.83573, 0;
3000, 8400, 2231.56, 1.83573, 0;
3000, 8500, 2037.51, 1.83573, 0;
3000, 8600, 1940.48, 1.83573, 0;
3000, 8700, 1552.39, 1.83573, 0;
3000, 8800, 1455.36, 1.83573, 0;
3000, 8900, 1164.29, 1.83573, 0;
3000, 9000, 1067.27, 1.83573, 0;
3000, 9100, 582.145, 1.83573, 0;
3000, 9200, 582.145, 1.83573, 0;
3000, 9300, 388.097, 1.83573, 0;
3000, 9400, 388.097, 1.83573, 0;
3000, 9500, 194.048, 0, 0;
3000, 9600, 0, 0, 0;
3000, 9700, 0, 0, 0;
3000, 9800, 0, 0, 0;
3000, 9900, 0, 0, 0;
3000, 10000, 194.048, 0, 0;
3100, 1000, 2.75688e+06, 10.0922, 3.80892;
3100, 2000, 1.02347e+06, 10.0576, 3.79729;
3100, 3000, 740287, 8.92063, 3.75699;
3100, 3100, 708962, 8.92, 3.71167;
3100, 3200, 634684, 8.85368, 3.69904;
3100, 3300, 584776, 8.74376, 3.69282;
3100, 3400, 522894, 8.64102, 3.64455;
3100, 3500, 419914, 8.57281, 3.62501;
3100, 3600, 383284, 8.55529, 3.54971;
3100, 3700, 327262, 7.72852, 3.53448;
3100, 3800, 290057, 7.71452, 3.28374;
3100, 3900, 278512, 7.4819, 2.91432;
3100, 4000, 235488, 7.24781, 2.86289;
3100, 4100, 193711, 6.74089, 2.62176;
3100, 4200, 157767, 6.74003, 2.60812;
3100, 4300, 145945, 6.60087, 2.55973;
3100, 4400, 141010, 5.95911, 2.45802;
3100, 4500, 123426, 5.90008, 2.38716;
3100, 4600, 109871, 5.86943, 2.38108;
3100, 4700, 103528, 5.21604, 2.08972;
3100, 4800, 95807.1, 5.10257, 2.06776;
