// x, y, n_BG, n_sig(C1N1 1TeV), n_sig(C1N1 3TeV), n_sig(C1C1 1TeV), n_sig(C1C1 3TeV) 
1000, 1000, 7.70056e+07+/-1.7695e+06, 12502.2+/-380.595, 223.287+/-14.6047, 12177.1+/-331.486, 211.428+/-11.6228;
1000, 2000, 5.86708e+06+/-201702, 5174.33+/-265.995, 116.973+/-10.9479, 5114.15+/-233.589, 120.368+/-8.94406;
1000, 3000, 1.00948e+06+/-74000.9, 2150.23+/-186.729, 60.6967+/-8.3769, 1999.92+/-157.827, 60.4413+/-6.62885;
1000, 3100, 906534+/-69831.3, 1984.75+/-182.322, 58.1536+/-8.28456, 1873.57+/-153.768, 58.1978+/-6.54906;
1000, 3200, 786768+/-64476.7, 1809.76+/-175.78, 54.4185+/-7.95448, 1725.29+/-148.402, 57.4134+/-6.53712;
1000, 3300, 704396+/-60642.1, 1594.89+/-166.631, 50.0415+/-7.69499, 1614.32+/-144.587, 54.0434+/-6.43197;
1000, 3400, 622409+/-56546.7, 1485.49+/-161.358, 47.882+/-7.57131, 1452.73+/-138.421, 49.5454+/-6.14993;
1000, 3500, 480646+/-44447.3, 1390.46+/-156.791, 45.7816+/-7.43396, 1355.82+/-134.469, 47.8022+/-6.07263;
1000, 3600, 437020+/-41658, 1305.03+/-152.701, 43.3334+/-7.34684, 1235.85+/-129.363, 45.5694+/-5.97106;
1000, 3700, 379930+/-37616.3, 1168.16+/-144.159, 42.9664+/-7.33767, 1179.48+/-126.485, 44.1591+/-5.92146;
1000, 3800, 316677+/-32480.7, 1077.27+/-139.679, 41.9533+/-7.29018, 1074.92+/-121.13, 42.4851+/-5.85972;
1000, 3900, 298134+/-31216.6, 960.112+/-133.282, 40.3724+/-7.16261, 918.072+/-112.959, 40.0568+/-5.75737;
1000, 4000, 254333+/-27095.9, 892.284+/-129.566, 38.3115+/-6.94401, 827.663+/-107.974, 36.4245+/-5.38428;
1000, 4100, 199144+/-20353.9, 822.292+/-124.458, 33.2395+/-6.59576, 735.313+/-102.225, 33.2681+/-5.1268;
1000, 4200, 162716+/-14632.6, 753.077+/-120.3, 32.2667+/-6.55595, 672.607+/-98.7044, 33.2681+/-5.1268;
1000, 4300, 150602+/-13169, 711.873+/-117.524, 31.9618+/-6.54922, 624.613+/-95.736, 33.2681+/-5.1268;
1000, 4400, 144988+/-13144.4, 596.207+/-107.097, 28.5156+/-6.29671, 582.694+/-92.622, 30.2942+/-4.9032;
1000, 4500, 126724+/-9611.98, 554.567+/-102.934, 24.4609+/-5.98759, 539.438+/-89.7479, 27.2118+/-4.58401;
1000, 4600, 112684+/-7170.09, 537.028+/-101.43, 23.3331+/-5.92324, 511.505+/-87.547, 26.5404+/-4.55794;
1000, 4700, 106245+/-7126.54, 501.559+/-97.8427, 22.3085+/-5.84392, 424.547+/-79.9594, 25.262+/-4.38018;
1000, 4800, 97844.6+/-7047.03, 439.05+/-91.3563, 21.421+/-5.77613, 412.469+/-79.042, 23.389+/-4.27711;
1000, 4900, 84518.5+/-2987.86, 429.97+/-90.9039, 21.3989+/-5.77609, 391.457+/-77.358, 22.1351+/-4.17472;
1000, 5000, 76479+/-2836.08, 342.156+/-81.5065, 21.3989+/-5.77609, 386.366+/-77.1903, 20.6686+/-4.03023;
1000, 5100, 68064.9+/-2649.35, 278.744+/-74.4029, 20.835+/-5.75634, 364.457+/-75.445, 20.6686+/-4.03023;
1000, 5200, 61965.4+/-2514.63, 276.988+/-74.3822, 17.9385+/-5.39804, 334.936+/-72.4815, 20.1954+/-4.00235;
1000, 5300, 55380.7+/-2362.32, 270.661+/-74.2437, 17.01+/-5.3176, 311.554+/-70.3794, 19.7473+/-3.97718;
1000, 5400, 50238.5+/-2254.25, 266.75+/-74.1406, 17.01+/-5.3176, 311.554+/-70.3794, 18.6055+/-3.8907;
1000, 5500, 45484.3+/-2149.5, 244.253+/-70.6447, 16.0529+/-5.23074, 281.129+/-66.8202, 17.8312+/-3.84568;
1000, 5600, 40924.1+/-2044, 244.253+/-70.6447, 16.0529+/-5.23074, 262.904+/-65.2752, 16.4065+/-3.70285;
1000, 5700, 36655.1+/-1940.03, 226.806+/-68.4565, 15.702+/-5.21911, 257.86+/-65.0801, 14.9901+/-3.60744;
1000, 5800, 32968.2+/-1845.54, 185.514+/-61.3966, 14.881+/-5.15414, 225.716+/-60.9439, 13.2339+/-3.38695;
1000, 5900, 30057.4+/-1767.37, 185.514+/-61.3966, 13.375+/-4.9292, 212.95+/-59.5918, 12.3117+/-3.259;
1000, 6000, 27236.7+/-1688.36, 152.002+/-55.4833, 13.375+/-4.9292, 181.217+/-55.1907, 9.67807+/-2.6623;
1000, 6100, 25005.2+/-1622.97, 152.002+/-55.4833, 13.375+/-4.9292, 181.217+/-55.1907, 8.70505+/-2.57178;
1000, 6200, 22094.5+/-1533.5, 137.617+/-53.586, 13.375+/-4.9292, 181.217+/-55.1907, 6.74956+/-2.30833;
1000, 6300, 19862.9+/-1461.2, 137.617+/-53.586, 12.3321+/-4.81761, 169.948+/-54.0278, 6.0131+/-2.1877;
1000, 6400, 18019.4+/-1398.66, 137.617+/-53.586, 12.3321+/-4.81761, 169.948+/-54.0278, 5.25737+/-2.05302;
1000, 6500, 16661.1+/-1350.72, 137.617+/-53.586, 10.7609+/-4.56336, 154.022+/-51.6274, 5.25737+/-2.05302;
1000, 6600, 15496.8+/-1308.24, 137.617+/-53.586, 10.7609+/-4.56336, 154.022+/-51.6274, 4.3389+/-1.83612;
1000, 6700, 14429.5+/-1268.04, 114.016+/-48.1086, 9.58901+/-4.41032, 140.041+/-49.6984, 3.54339+/-1.65483;
1000, 6800, 13168.2+/-1218.84, 114.016+/-48.1086, 8.657+/-4.31071, 140.041+/-49.6984, 3.54339+/-1.65483;
1000, 6900, 11809.9+/-1163.52, 114.016+/-48.1086, 7.20083+/-4.05732, 121.448+/-46.089, 3.54339+/-1.65483;
1000, 7000, 10174+/-1044.55, 91.3692+/-42.4451, 7.20083+/-4.05732, 121.448+/-46.089, 3.54339+/-1.65483;
1000, 7100, 9300.79+/-1003.18, 75.0709+/-39.1912, 7.20083+/-4.05732, 105.003+/-43.0554, 2.9384+/-1.54028;
1000, 7200, 8330.55+/-955.105, 75.0709+/-39.1912, 7.20083+/-4.05732, 105.003+/-43.0554, 2.9384+/-1.54028;
1000, 7300, 7748.41+/-925.064, 75.0709+/-39.1912, 7.20083+/-4.05732, 87.1277+/-39.1695, 2.31768+/-1.40967;
1000, 7400, 6584.12+/-861.847, 62.1921+/-37.0147, 7.20083+/-4.05732, 51.7943+/-30.1557, 2.31768+/-1.40967;
1000, 7500, 6099+/-834.093, 62.1921+/-37.0147, 7.20083+/-4.05732, 51.7943+/-30.1557, 2.31768+/-1.40967;
1000, 7600, 5516.85+/-799.518, 62.1921+/-37.0147, 7.20083+/-4.05732, 33.7806+/-24.1841, 2.31768+/-1.40967;
1000, 7700, 5225.78+/-781.657, 28.0665+/-28.0665, 7.20083+/-4.05732, 33.7806+/-24.1841, 1.29178+/-0.9668;
1000, 7800, 4934.71+/-763.379, 28.0665+/-28.0665, 5.08114+/-3.59348, 33.7806+/-24.1841, 1.29178+/-0.9668;
1000, 7900, 4546.61+/-738.304, 28.0665+/-28.0665, 5.08114+/-3.59348, 33.7806+/-24.1841, 1.29178+/-0.9668;
1000, 8000, 3783.94+/-605.916, 28.0665+/-28.0665, 2.5859+/-2.5859, 19.5648+/-19.5648, 1.29178+/-0.9668;
1000, 8100, 3298.82+/-565.743, 28.0665+/-28.0665, 2.5859+/-2.5859, 0+/-0, 1.29178+/-0.9668;
1000, 8200, 2813.7+/-522.491, 28.0665+/-28.0665, 2.5859+/-2.5859, 0+/-0, 1.29178+/-0.9668;
1000, 8300, 2328.58+/-475.319, 28.0665+/-28.0665, 2.5859+/-2.5859, 0+/-0, 1.29178+/-0.9668;
1000, 8400, 2231.56+/-465.311, 28.0665+/-28.0665, 2.5859+/-2.5859, 0+/-0, 1.29178+/-0.9668;
1000, 8500, 2037.51+/-444.62, 28.0665+/-28.0665, 2.5859+/-2.5859, 0+/-0, 1.29178+/-0.9668;
1000, 8600, 1940.48+/-433.905, 28.0665+/-28.0665, 2.5859+/-2.5859, 0+/-0, 1.29178+/-0.9668;
