// x, y, n_BG, n_sig(C1N1 1TeV), n_sig(C1N1 3TeV), n_sig(C1C1 1TeV), n_sig(C1C1 3TeV) 
1000, 1000, 4.86108e+07, 1482.54, 32.1868, 1856.15, 24.9089;
1000, 2000, 3.88546e+06, 582.959, 18.6338, 669.165, 16.5012;
1000, 3000, 636434, 338.656, 8.27661, 188.02, 7.11202;
1000, 3100, 573497, 316.247, 8.11791, 178.309, 6.94681;
1000, 3200, 494268, 299.364, 7.43834, 155.882, 6.94681;
1000, 3300, 438944, 299.364, 7.2563, 155.882, 6.94681;
1000, 3400, 390347, 275.254, 7.22505, 151.068, 6.94681;
1000, 3500, 303885, 269.373, 6.19115, 151.068, 6.93926;
1000, 3600, 281818, 255.634, 6.19115, 130.647, 6.93926;
1000, 3700, 252752, 230.584, 6.19115, 130.647, 6.93926;
1000, 3800, 216503, 215.905, 5.99699, 130.647, 6.93926;
1000, 3900, 206490, 215.905, 5.99699, 102.958, 5.31438;
1000, 4000, 170920, 210.294, 5.99699, 99.3597, 5.31438;
1000, 4100, 142243, 178.241, 4.95234, 89.3066, 5.0862;
1000, 4200, 113297, 178.241, 4.95234, 89.3066, 5.0862;
1000, 4300, 103102, 178.241, 4.65559, 76.8391, 5.0862;
1000, 4400, 99316.9, 136.539, 3.60146, 62.9623, 4.18931;
1000, 4500, 89505.9, 136.539, 3.19038, 49.3002, 3.14819;
1000, 4600, 78724.6, 119.008, 3.19038, 49.3002, 3.14819;
1000, 4700, 74649.6, 119.008, 2.22615, 35.1418, 3.14819;
1000, 4800, 69803.8, 119.008, 2.22615, 35.1418, 3.14819;
1000, 4900, 58792.7, 109.928, 2.20405, 35.1418, 3.14819;
1000, 5000, 53067.2, 73.1231, 2.20405, 30.0508, 3.14819;
1000, 5100, 47924.9, 65.8666, 2.10754, 30.0508, 3.14819;
1000, 5200, 43571.8, 65.8666, 2.10754, 30.0508, 3.14819;
1000, 5300, 38831.1, 63.9388, 2.10754, 30.0508, 2.70011;
1000, 5400, 35629.4, 63.9388, 2.10754, 30.0508, 2.00961;
1000, 5500, 32718.6, 63.9388, 2.10754, 11.2697, 2.00961;
1000, 5600, 28934.7, 63.9388, 2.10754, 11.2697, 2.00961;
1000, 5700, 25628.9, 63.9388, 1.75898, 11.2697, 2.00961;
1000, 5800, 23688.4, 22.6463, 1.75898, 11.2697, 2.00961;
1000, 5900, 21456.8, 22.6463, 0.252951, 11.2697, 2.00961;
1000, 6000, 19322.3, 22.6463, 0.252951, 11.2697, 2.00961;
1000, 6100, 17665.9, 22.6463, 0.252951, 11.2697, 2.00961;
1000, 6200, 15531.3, 22.6463, 0.252951, 11.2697, 1.36073;
1000, 6300, 13784.9, 22.6463, 0.252951, 0, 1.36073;
1000, 6400, 12523.6, 22.6463, 0.252951, 0, 0.604994;
1000, 6500, 11740.4, 22.6463, 0.252951, 0, 0.604994;
1000, 6600, 10867.2, 22.6463, 0.252951, 0, 0.604994;
1000, 6700, 10285, 22.6463, 0.252951, 0, 0.604994;
1000, 6800, 9411.82, 22.6463, 0.252951, 0, 0.604994;
1000, 6900, 8531.6, 22.6463, 0.252951, 0, 0.604994;
1000, 7000, 7949.46, 0, 0.252951, 0, 0.604994;
1000, 7100, 7367.31, 0, 0.252951, 0, 0;
1000, 7200, 6681.14, 0, 0.252951, 0, 0;
1000, 7300, 6390.07, 0, 0.252951, 0, 0;
1000, 7400, 5613.88, 0, 0.252951, 0, 0;
1000, 7500, 5128.75, 0, 0.252951, 0, 0;
1000, 7600, 4740.66, 0, 0.252951, 0, 0;
1000, 7700, 4643.63, 0, 0.252951, 0, 0;
1000, 7800, 4449.59, 0, 0, 0, 0;
1000, 7900, 4158.51, 0, 0, 0, 0;
1000, 8000, 3395.85, 0, 0, 0, 0;
1000, 8100, 3007.75, 0, 0, 0, 0;
1000, 8200, 2716.68, 0, 0, 0, 0;
1000, 8300, 2231.56, 0, 0, 0, 0;
1000, 8400, 2231.56, 0, 0, 0, 0;
1000, 8500, 2037.51, 0, 0, 0, 0;
1000, 8600, 1843.46, 0, 0, 0, 0;
1000, 8700, 1455.36, 0, 0, 0, 0;
1000, 8800, 1358.34, 0, 0, 0, 0;
1000, 8900, 1261.31, 0, 0, 0, 0;
1000, 9000, 1261.31, 0, 0, 0, 0;
1000, 9100, 873.217, 0, 0, 0, 0;
1000, 9200, 776.193, 0, 0, 0, 0;
1000, 9300, 776.193, 0, 0, 0, 0;
1000, 9400, 776.193, 0, 0, 0, 0;
1000, 9500, 679.169, 0, 0, 0, 0;
1000, 9600, 388.097, 0, 0, 0, 0;
1000, 9700, 388.097, 0, 0, 0, 0;
1000, 9800, 388.097, 0, 0, 0, 0;
1000, 9900, 291.072, 0, 0, 0, 0;
1000, 10000, 291.072, 0, 0, 0, 0;
2000, 1000, 5.49517e+06, 585.376, 13.4306, 566.41, 12.4761;
2000, 2000, 2.69795e+06, 505.453, 12.5807, 486.983, 11.8837;
2000, 3000, 623216, 331.349, 8.20239, 188.02, 7.11202;
2000, 3100, 566596, 308.941, 8.11791, 178.309, 6.94681;
2000, 3200, 487561, 298.248, 7.43834, 155.882, 6.94681;
2000, 3300, 432238, 298.248, 7.2563, 155.882, 6.94681;
2000, 3400, 383641, 274.138, 7.22505, 151.068, 6.94681;
2000, 3500, 303497, 268.258, 6.19115, 151.068, 6.93926;
2000, 3600, 281430, 254.518, 6.19115, 130.647, 6.93926;
2000, 3700, 252364, 230.584, 6.19115, 130.647, 6.93926;
2000, 3800, 216115, 215.905, 5.99699, 130.647, 6.93926;
2000, 3900, 206199, 215.905, 5.99699, 102.958, 5.31438;
2000, 4000, 170726, 210.294, 5.99699, 99.3597, 5.31438;
2000, 4100, 142049, 178.241, 4.95234, 89.3066, 5.0862;
2000, 4200, 113103, 178.241, 4.95234, 89.3066, 5.0862;
2000, 4300, 102908, 178.241, 4.65559, 76.8391, 5.0862;
2000, 4400, 99219.9, 136.539, 3.60146, 62.9623, 4.18931;
2000, 4500, 89408.9, 136.539, 3.19038, 49.3002, 3.14819;
2000, 4600, 78627.6, 119.008, 3.19038, 49.3002, 3.14819;
2000, 4700, 74552.6, 119.008, 2.22615, 35.1418, 3.14819;
2000, 4800, 69706.8, 119.008, 2.22615, 35.1418, 3.14819;
2000, 4900, 58695.7, 109.928, 2.20405, 35.1418, 3.14819;
2000, 5000, 53067.2, 73.1231, 2.20405, 30.0508, 3.14819;
2000, 5100, 47924.9, 65.8666, 2.10754, 30.0508, 3.14819;
2000, 5200, 43571.8, 65.8666, 2.10754, 30.0508, 3.14819;
2000, 5300, 38831.1, 63.9388, 2.10754, 30.0508, 2.70011;
2000, 5400, 35629.4, 63.9388, 2.10754, 30.0508, 2.00961;
2000, 5500, 32718.6, 63.9388, 2.10754, 11.2697, 2.00961;
2000, 5600, 28934.7, 63.9388, 2.10754, 11.2697, 2.00961;
2000, 5700, 25628.9, 63.9388, 1.75898, 11.2697, 2.00961;
2000, 5800, 23688.4, 22.6463, 1.75898, 11.2697, 2.00961;
