// x, y, n_BG, n_sig(C1N1 1TeV), n_sig(C1N1 3TeV), n_sig(C1C1 1TeV), n_sig(C1C1 3TeV) 
1000, 1000, 7.70056e+07, 12502.2, 223.287, 12177.1, 211.428;
1000, 2000, 5.86708e+06, 5174.33, 116.973, 5114.15, 120.368;
1000, 3000, 1.00948e+06, 2150.23, 60.6967, 1999.92, 60.4413;
1000, 3100, 906534, 1984.75, 58.1536, 1873.57, 58.1978;
1000, 3200, 786768, 1809.76, 54.4185, 1725.29, 57.4134;
1000, 3300, 704396, 1594.89, 50.0415, 1614.32, 54.0434;
1000, 3400, 622409, 1485.49, 47.882, 1452.73, 49.5454;
1000, 3500, 480646, 1390.46, 45.7816, 1355.82, 47.8022;
1000, 3600, 437020, 1305.03, 43.3334, 1235.85, 45.5694;
1000, 3700, 379930, 1168.16, 42.9664, 1179.48, 44.1591;
1000, 3800, 316677, 1077.27, 41.9533, 1074.92, 42.4851;
1000, 3900, 298134, 960.112, 40.3724, 918.072, 40.0568;
1000, 4000, 254333, 892.284, 38.3115, 827.663, 36.4245;
1000, 4100, 199144, 822.292, 33.2395, 735.313, 33.2681;
1000, 4200, 162716, 753.077, 32.2667, 672.607, 33.2681;
1000, 4300, 150602, 711.873, 31.9618, 624.613, 33.2681;
1000, 4400, 144988, 596.207, 28.5156, 582.694, 30.2942;
1000, 4500, 126724, 554.567, 24.4609, 539.438, 27.2118;
1000, 4600, 112684, 537.028, 23.3331, 511.505, 26.5404;
1000, 4700, 106245, 501.559, 22.3085, 424.547, 25.262;
1000, 4800, 97844.6, 439.05, 21.421, 412.469, 23.389;
1000, 4900, 84518.5, 429.97, 21.3989, 391.457, 22.1351;
1000, 5000, 76479, 342.156, 21.3989, 386.366, 20.6686;
1000, 5100, 68064.9, 278.744, 20.835, 364.457, 20.6686;
1000, 5200, 61965.4, 276.988, 17.9385, 334.936, 20.1954;
1000, 5300, 55380.7, 270.661, 17.01, 311.554, 19.7473;
1000, 5400, 50238.5, 266.75, 17.01, 311.554, 18.6055;
1000, 5500, 45484.3, 244.253, 16.0529, 281.129, 17.8312;
1000, 5600, 40924.1, 244.253, 16.0529, 262.904, 16.4065;
1000, 5700, 36655.1, 226.806, 15.702, 257.86, 14.9901;
1000, 5800, 32968.2, 185.514, 14.881, 225.716, 13.2339;
1000, 5900, 30057.4, 185.514, 13.375, 212.95, 12.3117;
1000, 6000, 27236.7, 152.002, 13.375, 181.217, 9.67807;
1000, 6100, 25005.2, 152.002, 13.375, 181.217, 8.70505;
1000, 6200, 22094.5, 137.617, 13.375, 181.217, 6.74956;
1000, 6300, 19862.9, 137.617, 12.3321, 169.948, 6.0131;
1000, 6400, 18019.4, 137.617, 12.3321, 169.948, 5.25737;
1000, 6500, 16661.1, 137.617, 10.7609, 154.022, 5.25737;
1000, 6600, 15496.8, 137.617, 10.7609, 154.022, 4.3389;
1000, 6700, 14429.5, 114.016, 9.58901, 140.041, 3.54339;
1000, 6800, 13168.2, 114.016, 8.657, 140.041, 3.54339;
1000, 6900, 11809.9, 114.016, 7.20083, 121.448, 3.54339;
1000, 7000, 10174, 91.3692, 7.20083, 121.448, 3.54339;
1000, 7100, 9300.79, 75.0709, 7.20083, 105.003, 2.9384;
1000, 7200, 8330.55, 75.0709, 7.20083, 105.003, 2.9384;
1000, 7300, 7748.41, 75.0709, 7.20083, 87.1277, 2.31768;
1000, 7400, 6584.12, 62.1921, 7.20083, 51.7943, 2.31768;
1000, 7500, 6099, 62.1921, 7.20083, 51.7943, 2.31768;
1000, 7600, 5516.85, 62.1921, 7.20083, 33.7806, 2.31768;
1000, 7700, 5225.78, 28.0665, 7.20083, 33.7806, 1.29178;
1000, 7800, 4934.71, 28.0665, 5.08114, 33.7806, 1.29178;
1000, 7900, 4546.61, 28.0665, 5.08114, 33.7806, 1.29178;
1000, 8000, 3783.94, 28.0665, 2.5859, 19.5648, 1.29178;
1000, 8100, 3298.82, 28.0665, 2.5859, 0, 1.29178;
1000, 8200, 2813.7, 28.0665, 2.5859, 0, 1.29178;
1000, 8300, 2328.58, 28.0665, 2.5859, 0, 1.29178;
1000, 8400, 2231.56, 28.0665, 2.5859, 0, 1.29178;
1000, 8500, 2037.51, 28.0665, 2.5859, 0, 1.29178;
1000, 8600, 1940.48, 28.0665, 2.5859, 0, 1.29178;
1000, 8700, 1552.39, 28.0665, 2.5859, 0, 1.29178;
1000, 8800, 1455.36, 28.0665, 0, 0, 1.29178;
1000, 8900, 1164.29, 28.0665, 0, 0, 0.869893;
1000, 9000, 1067.27, 28.0665, 0, 0, 0.869893;
1000, 9100, 582.145, 28.0665, 0, 0, 0.869893;
1000, 9200, 582.145, 28.0665, 0, 0, 0.869893;
1000, 9300, 388.097, 28.0665, 0, 0, 0.869893;
1000, 9400, 388.097, 28.0665, 0, 0, 0.869893;
1000, 9500, 194.048, 0, 0, 0, 0;
1000, 9600, 0, 0, 0, 0, 0;
1000, 9700, 0, 0, 0, 0, 0;
1000, 9800, 0, 0, 0, 0, 0;
1000, 9900, 0, 0, 0, 0, 0;
1000, 10000, 194.048, 0, 0, 0, 0;
2000, 1000, 9.35425e+06, 4565.4, 107.133, 4294.21, 99.593;
