// wino, C1C1/C1N1, mass, leading jet pt cut, met cut, significance, number of signal, number of BG (with fake rate and without sqrt) 
Wino, C1N1, 700, 1000, 2000, 8910.9, 25171.1, 2.82475;
Wino, C1N1, 800, 1000, 2000, 6380.03, 18022, 2.82475;
Wino, C1N1, 900, 1000, 2000, 4729.81, 13360.6, 2.82475;
Wino, C1N1, 1000, 1000, 2000, 3642.26, 10288.5, 2.82475;
Wino, C1N1, 1100, 1000, 2000, 2985.67, 8433.77, 2.82475;
Wino, C1N1, 1200, 1000, 9600, inf, 17.0282, 0;
Wino, C1N1, 1300, 1000, 2000, 1849.38, 5224.04, 2.82475;
Wino, C1N1, 1400, 1000, 4200, 1559.51, 733.622, 0.470418;
Wino, C1N1, 1500, 9700, 9000, inf, 5.32275, 0;
Wino, C1N1, 1600, 10000, 5000, 833.519, 24.1917, 0.0290236;
Wino, C1N1, 1700, 1000, 3400, 822.152, 756.413, 0.920041;
Wino, C1N1, 1800, 2000, 4200, 870.254, 409.139, 0.470138;
Wino, C1N1, 1900, 10000, 7200, 779.198, 21.9247, 0.0281375;
Wino, C1N1, 2000, 9600, 9000, 1350.2, 15.5098, 0.0114871;
Wino, C1N1, 2100, 2000, 4100, 548.553, 285.338, 0.520165;
Wino, C1N1, 2200, 4400, 4300, 355.505, 139.954, 0.393678;
Wino, C1N1, 2300, 1000, 9600, inf, 4.13235, 0;
Wino, C1N1, 2400, 10000, 9600, 529.707, 6.08479, 0.0114871;
Wino, C1N1, 2500, 1000, 9600, inf, 5.41336, 0;
Wino, C1N1, 2600, 1000, 7000, 254.325, 29.9161, 0.117629;
Wino, C1N1, 2700, 1000, 9600, inf, 10.4506, 0;
Wino, C1N1, 2800, 9700, 9000, inf, 2.15289, 0;
Wino, C1N1, 2900, 1000, 4200, 160.166, 75.3452, 0.470418;
Wino, C1N1, 3000, 2000, 4300, 144.225, 65.2299, 0.452277;
Wino, C1N1, 3100, 10000, 10000, 123.698, 3.75942, 0.0303919;
Wino, C1N1, 3200, 10000, 10000, 138.37, 4.20532, 0.0303919;
Wino, C1N1, 3300, 1000, 9600, inf, 1.36401, 0;
Wino, C1N1, 3400, 9700, 9000, inf, 0.432864, 0;
Wino, C1N1, 3500, 2000, 4300, 66.3301, 29.9996, 0.452277;
Wino, C1N1, 3600, 9700, 9000, inf, 0.275736, 0;
Wino, C1N1, 3700, 1000, 9600, inf, 0.0929431, 0;
Wino, C1N1, 3800, 10000, 10000, 45.4086, 1.38006, 0.0303919;
Wino, C1N1, 3900, 10000, 10000, 59.6015, 1.8114, 0.0303919;
Wino, C1N1, 4000, 9500, 9000, 44.5608, 0.88659, 0.0198962;
Wino, C1N1, 4100, 1000, 4300, 32.4293, 14.6765, 0.452569;
Wino, C1N1, 4200, 10000, 10000, 47.6626, 1.44856, 0.0303919;
Wino, C1N1, 4300, 3700, 6500, 28.2923, 4.2464, 0.15009;
Wino, C1N1, 4400, 10000, 10000, 48.9298, 1.48707, 0.0303919;
Wino, C1N1, 4500, 1000, 4100, 19.649, 10.2257, 0.520419;
Wino, C1N1, 4600, 1000, 10000, 23.4238, 0.380524, 0.0162452;
