// Signal for fast simulation 
// The efficiency for chargino track reconstruction is saved here 
// Assumed: chargino lifetime = 0.2 ns  and chargino is reconstructed if it decays in a radius >= 150 mm
// mass, efficiency for C1N1, efficiency for C1C1 
700, 0.527253, 0.526009;
800, 0.50575, 0.505673;
900, 0.479995, 0.483027;
1000, 0.460202, 0.46166;
1100, 0.440672, 0.443263;
1200, 0.423013, 0.421348;
1300, 0.408502, 0.406832;
1400, 0.388722, 0.390478;
1500, 0.370311, 0.371479;
1600, 0.36, 0.352618;
1700, 0.3451, 0.34595;
1800, 0.327233, 0.32215;
1900, 0.3109, 0.310866;
2000, 0.3041, 0.29815;
2100, 0.2762, 0.291315;
2200, 0.2685, 0.26955;
2300, 0.2627, 0.256813;
2400, 0.2566, 0.250613;
2500, 0.2394, 0.23705;
2600, 0.229, 0.22805;
2700, 0.2087, 0.21715;
2800, 0.2028, 0.20445;
2900, 0.1973, 0.19316;
3000, 0.19, 0.18965;
3100, 0.1782, 0.18145;
3200, 0.177, 0.1746;
3300, 0.1619, 0.16325;
3400, 0.155, 0.15625;
3500, 0.1543, 0.15375;
3600, 0.1416, 0.1477;
3700, 0.1374, 0.14005;
3800, 0.1309, 0.13165;
3900, 0.1279, 0.1241;
4000, 0.1229, 0.12635;
4100, 0.1136, 0.11075;
4200, 0.107, 0.111906;
4300, 0.1011, 0.10145;
4400, 0.0998, 0.0995;
4500, 0.0936, 0.0926;
4600, 0.0889, 0.08875;
