// mass, C1C1/C1N1, mean betagamma, tot_charginos, tot_charginos_eta, tot_events,   entries h2_pred, tot integral of histo, e_counter, e_counter_single 
700, C1N1, 0.269568, 99990.000000, 23354.000000, 100000.000000, 95641, 337774, 2563.56, 2563.56
700, C1C1, 0.266428, 199987.000000, 46497.000000, 100000.000000, 95613, 307986, 4687.77, 5015.36
800, C1N1, 0.273625, 99998.000000, 24184.000000, 100000.000000, 95421, 210380, 2564.98, 2564.98
800, C1C1, 0.268039, 199985.000000, 47726.000000, 100000.000000, 95502, 192442, 4682.29, 5014.63
900, C1N1, 0.278162, 99999.000000, 25051.000000, 100000.000000, 95143, 137759, 2577.88, 2577.88
900, C1C1, 0.273814, 199989.000000, 49561.000000, 100000.000000, 95342, 128707, 4749.49, 5082.46
1000, C1N1, 0.279392, 99993.000000, 25630.000000, 100000.000000, 95019, 94792.3, 2560.16, 2560.16
1000, C1C1, 0.275715, 159990.000000, 40804.000000, 80000.000000, 76015, 88637.5, 3767.4, 4020.44
1100, C1N1, 0.285421, 99995.000000, 26667.000000, 100000.000000, 94923, 71288, 2576.46, 2576.46
1100, C1C1, 0.274716, 199985.000000, 52297.000000, 100000.000000, 94970, 63282.5, 4587.69, 4885.03
1200, C1N1, 0.282608, 99997.000000, 26966.000000, 100000.000000, 94785, 50502.6, 2498.4, 2498.4
1200, C1C1, 0.28154, 199989.000000, 54093.000000, 100000.000000, 94832, 46884.2, 4660.92, 4972.15
1300, C1N1, 0.291256, 99997.000000, 27939.000000, 100000.000000, 94800, 37900.6, 2577.75, 2577.75
1300, C1C1, 0.283032, 199994.000000, 54856.000000, 100000.000000, 94741, 34011.9, 4642.63, 4946.52
1400, C1N1, 0.290295, 99997.000000, 28406.000000, 100000.000000, 94587, 28338.5, 2523.01, 2523.01
1400, C1C1, 0.285857, 199996.000000, 56137.000000, 100000.000000, 94497, 25992.7, 4660.7, 4965.4
1500, C1N1, 0.292457, 99997.000000, 28960.000000, 100000.000000, 94441, 21987.4, 2511.7, 2511.7
1500, C1C1, 0.289122, 199995.000000, 57778.000000, 100000.000000, 94497, 19071.8, 4636.95, 4936.21
1600, C1N1, 0.293049, 10000.000000, 2952.000000, 10000.000000, 9422, 16258.6, 249.691, 249.691
1600, C1C1, 0.285425, 19999.000000, 5821.000000, 10000.000000, 9439, 14430.3, 447.45, 473.66
1700, C1N1, 0.295176, 10000.000000, 2995.000000, 10000.000000, 9416, 13033.4, 251.43, 251.43
1700, C1C1, 0.293748, 20000.000000, 5987.000000, 10000.000000, 9452, 11956.8, 466.045, 497.097
1800, C1N1, 0.297338, 9999.000000, 3080.000000, 10000.000000, 9421, 11333.1, 244.811, 244.811
1800, C1C1, 0.290902, 20000.000000, 6046.000000, 10000.000000, 9428, 9205.89, 446.931, 474.635
1900, C1N1, 0.295917, 10000.000000, 3107.000000, 10000.000000, 9398, 8200.04, 242.576, 242.576
1900, C1C1, 0.294611, 19999.000000, 6200.000000, 10000.000000, 9429, 7565.96, 452.618, 480.244
2000, C1N1, 0.291624, 10000.000000, 3100.000000, 10000.000000, 9393, 6521.95, 235.051, 235.051
2000, C1C1, 0.297388, 20000.000000, 6311.000000, 10000.000000, 9434, 6157.7, 449.828, 476.851
2100, C1N1, 0.304595, 10000.000000, 3303.000000, 10000.000000, 9383, 5931.4, 239.304, 239.304
2100, C1C1, 0.295831, 19999.000000, 6315.000000, 10000.000000, 9401, 5433.58, 445.011, 472.001
2200, C1N1, 0.293294, 10000.000000, 3208.000000, 10000.000000, 9391, 4452.09, 228.067, 228.067
2200, C1C1, 0.306176, 20000.000000, 6623.000000, 10000.000000, 9375, 4345.94, 452.56, 480.077
2300, C1N1, 0.306642, 10000.000000, 3367.000000, 10000.000000, 9394, 3763.07, 240.482, 240.482
2300, C1C1, 0.302795, 19999.000000, 6627.000000, 10000.000000, 9380, 3437.89, 447.992, 477.407
2400, C1N1, 0.300293, 10000.000000, 3332.000000, 10000.000000, 9369, 3018.51, 229.667, 229.667
2400, C1C1, 0.302402, 19999.000000, 6714.000000, 10000.000000, 9366, 2837.94, 441.633, 469.067
2500, C1N1, 0.309467, 10000.000000, 3446.000000, 10000.000000, 9312, 2741.04, 233.797, 233.797
2500, C1C1, 0.301381, 20000.000000, 6722.000000, 10000.000000, 9360, 2507.2, 436.87, 463.707
2600, C1N1, 0.301149, 10000.000000, 3403.000000, 10000.000000, 9291, 2117.11, 225.033, 225.033
2600, C1C1, 0.31054, 20000.000000, 6905.000000, 10000.000000, 9363, 2071.74, 450.77, 478.106
2700, C1N1, 0.304918, 10000.000000, 3528.000000, 10000.000000, 9323, 1944.2, 224.742, 224.742
2700, C1C1, 0.303348, 20000.000000, 6904.000000, 10000.000000, 9338, 1785.6, 424.535, 447.726
2800, C1N1, 0.302793, 10000.000000, 3555.000000, 10000.000000, 9294, 1599.12, 216.788, 216.788
2800, C1C1, 0.308478, 20000.000000, 7036.000000, 10000.000000, 9309, 1549.22, 433.954, 460.921
2900, C1N1, 0.315, 10000.000000, 3658.000000, 10000.000000, 9273, 1485.16, 228.716, 228.716
2900, C1C1, 0.30712, 19999.000000, 7143.000000, 10000.000000, 9317, 1345.65, 425.166, 449.512
3000, C1N1, 0.311231, 10000.000000, 3650.000000, 10000.000000, 9308, 1200.45, 224.778, 224.778
3000, C1C1, 0.299061, 20000.000000, 7101.000000, 10000.000000, 9291, 1046.96, 403.919, 426.76
3100, C1N1, 0.308707, 10000.000000, 3658.000000, 10000.000000, 9272, 1048.37, 222.272, 222.272
3100, C1C1, 0.311099, 20000.000000, 7327.000000, 10000.000000, 9224, 947.922, 415.646, 440.331
3200, C1N1, 0.308022, 10000.000000, 3641.000000, 10000.000000, 9273, 898.621, 219.717, 219.717
3200, C1C1, 0.301034, 20000.000000, 7274.000000, 10000.000000, 9273, 782.375, 395.919, 417.583
3300, C1N1, 0.310324, 10000.000000, 3733.000000, 10000.000000, 9231, 744.331, 216.199, 216.199
3300, C1C1, 0.312335, 20000.000000, 7434.000000, 10000.000000, 9263, 699.584, 420.246, 443.905
3400, C1N1, 0.30888, 10000.000000, 3775.000000, 10000.000000, 9255, 664.048, 215.425, 215.425
3400, C1C1, 0.308866, 20000.000000, 7556.000000, 10000.000000, 9276, 591.137, 397.751, 419.776
3500, C1N1, 0.308327, 10000.000000, 3765.000000, 10000.000000, 9261, 566.336, 209.219, 209.219
3500, C1C1, 0.310793, 20000.000000, 7540.000000, 10000.000000, 9254, 524.226, 401.614, 424.584
3600, C1N1, 0.316564, 10000.000000, 3902.000000, 10000.000000, 9263, 510.776, 213.92, 213.92
3600, C1C1, 0.309797, 20000.000000, 7599.000000, 10000.000000, 9276, 461.828, 402.044, 424.375
3700, C1N1, 0.314873, 10000.000000, 3901.000000, 10000.000000, 9251, 464.116, 214.988, 214.988
3700, C1C1, 0.313489, 20000.000000, 7757.000000, 10000.000000, 9190, 409.052, 395.907, 417.388
3800, C1N1, 0.315898, 10000.000000, 3920.000000, 10000.000000, 9195, 395.264, 208.11, 208.11
3800, C1C1, 0.316098, 20000.000000, 7844.000000, 10000.000000, 9233, 365.678, 402.419, 424.565
3900, C1N1, 0.321626, 10000.000000, 4029.000000, 10000.000000, 9198, 349.845, 210.344, 210.344
3900, C1C1, 0.303091, 20000.000000, 7766.000000, 10000.000000, 9205, 296.253, 371.384, 390.712
4000, C1N1, 0.31341, 10000.000000, 3952.000000, 10000.000000, 9180, 310.189, 206.586, 206.586
4000, C1C1, 0.307718, 20000.000000, 7797.000000, 10000.000000, 9241, 271.774, 379.838, 399.878
4100, C1N1, 0.3096, 10000.000000, 3972.000000, 10000.000000, 9210, 261.613, 195.526, 195.526
4100, C1C1, 0.31526, 20000.000000, 8090.000000, 10000.000000, 9217, 244.316, 382.88, 402.789
4200, C1N1, 0.318974, 10000.000000, 4069.000000, 10000.000000, 9248, 250.3, 209.054, 209.054
4200, C1C1, 0.306857, 19999.000000, 7954.000000, 10000.000000, 9141, 208.135, 364.766, 382.589
4300, C1N1, 0.307311, 10000.000000, 3976.000000, 10000.000000, 9201, 210.516, 196.615, 196.615
4300, C1C1, 0.315226, 20000.000000, 8147.000000, 10000.000000, 9250, 196.401, 386.921, 406.965
4400, C1N1, 0.320023, 10000.000000, 4091.000000, 10000.000000, 9223, 197.702, 205.375, 205.375
4400, C1C1, 0.316127, 20000.000000, 8177.000000, 10000.000000, 9217, 174.797, 382.822, 402.807
4500, C1N1, 0.313754, 10000.000000, 4113.000000, 10000.000000, 9165, 169.129, 195.114, 195.114
4500, C1C1, 0.310946, 20000.000000, 8165.000000, 10000.000000, 9152, 150.407, 366.757, 385.231
