// Wino with mass 3 TeV 
// leading jet pt, n_BG, n_sig, significance 
5, 0, 0, -1;
15, 9.01129e+07, 1.17203, 0.000123466;
25, 0, 2.53353, -1;
35, 5.76629e+07, 4.82608, 0.000635545;
45, 1.5633e+08, 4.46966, 0.000357481;
55, 1.18451e+08, 3.76659, 0.000346083;
65, 4.81116e+07, 3.20429, 0.000461962;
75, 2.25557e+07, 3.07984, 0.000648485;
85, 1.34823e+07, 1.65409, 0.000450484;
95, 9.7757e+06, 2.02811, 0.00064866;
105, 7.71969e+06, 2.15824, 0.000776782;
115, 6.41023e+06, 4.21164, 0.00166347;
125, 5.31196e+06, 3.52861, 0.001531;
135, 4.34759e+06, 3.36097, 0.00161191;
145, 3.605e+06, 4.06861, 0.00214286;
155, 3.12005e+06, 3.57871, 0.00202603;
165, 2.76741e+06, 2.19216, 0.00131776;
175, 2.36909e+06, 2.68132, 0.00174204;
185, 2.02301e+06, 3.36007, 0.00236237;
195, 1.6838e+06, 1.55231, 0.00119628;
205, 1.43604e+06, 2.61046, 0.00217838;
215, 1.20269e+06, 2.0324, 0.00185324;
225, 1.0261e+06, 3.22339, 0.00318213;
235, 882945, 2.29407, 0.00244141;
245, 764220, 1.04601, 0.00119653;
255, 666609, 7.69768, 0.0094281;
265, 578657, 0.468781, 0.000616254;
275, 510331, 1.75232, 0.00245294;
285, 443745, 1.33372, 0.00200216;
295, 389478, 5.5877, 0.00895348;
305, 345659, 0.996878, 0.00169558;
315, 305703, 1.92823, 0.00348746;
325, 269550, 2.2633, 0.00435935;
335, 245584, 2.14323, 0.00432484;
345, 220103, 0.981868, 0.00209286;
355, 200132, 1.22035, 0.00272788;
365, 179191, 5.34686, 0.0126311;
375, 159007, 2.06247, 0.00517225;
385, 147752, 0.390526, 0.00101597;
395, 133454, 1.73602, 0.00475214;
405, 122559, 1.44766, 0.00413518;
415, 115156, 4.0969, 0.0120729;
425, 105948, 2.35069, 0.00722184;
435, 97620.9, 0.22398, 0.000716865;
445, 89619.4, 4.38583, 0.0146504;
455, 82447.6, 2.28339, 0.00795228;
465, 76174.3, 3.44772, 0.0124919;
475, 71138.2, 2.95813, 0.0110909;
485, 66836.3, 1.66382, 0.00643578;
495, 60356.7, 0.404142, 0.00164502;
505, 56681.3, 1.51342, 0.00635681;
515, 52960.1, 3.51271, 0.015264;
525, 50602, 5.96204, 0.026504;
535, 46609.1, 3.42082, 0.0158451;
545, 42383.5, 1.45697, 0.00707707;
555, 40476.6, 2.87269, 0.0142786;
565, 37022.8, 0.802058, 0.00416842;
575, 35890.6, 2.13653, 0.0112776;
585, 33017.7, 3.0939, 0.0170268;
595, 31097.9, 8.12458, 0.0460718;
605, 29146.6, 3.22064, 0.0188646;
615, 27212.4, 1.47939, 0.0089681;
625, 25612.3, 3.929, 0.0245504;
635, 23677.4, 1.10367, 0.00717255;
645, 22938.5, 2.81497, 0.0185862;
655, 21041.6, 3.51941, 0.0242622;
665, 19767.3, 1.49998, 0.0106687;
675, 18842.4, 3.55047, 0.0258654;
685, 17489.3, 0.652584, 0.00493458;
695, 16511.7, 0.481605, 0.00374797;
705, 15643.1, 0.564493, 0.00451333;
715, 15070.7, 3.13984, 0.0255765;
725, 14112.9, 3.35541, 0.0282447;
735, 13386, 5.288, 0.0457052;
